Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,AGCP Regional Status,USDA Hardiness Zone,Attracts,Tolerates,Soil Description,Condition Comments,MaintenanceLevel,Native Habitats,Culture,Uses,UseXYZ,WFMaintenance,Problems,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com,Rev
"Herbaceous, Perennial",MR,Mimulus ringens,MONKEY FLOWER,1 - 3,0.75 - 1,Blue,"Jul, Aug, Sep","Full Sun, Part Shade","Medium, Wet",OBL,Zone 3 to 8,"Butterflies, Hummingbirds, Pollinators","Deer, Wet Soil, Clay Soil Tolerant, Wet Site Tolerant",Loam,,Low,Wet meadows and streambanks.,Grow in moist to wet soils in full sun to part shade. Best in part shade. Naturalizes in optimum growing conditions by both self-seeding and creeping rhizomes.,"Best naturalized in moist to wet soils in water gardens, bog gardens, wet meadows, water margins or low spots. May be grown in moist soils in borders as long as soils do not dry out.",,,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z410,https://www.wildflower.org/plants/result.php?id_plant=MIRI,https://www.pleasantrunnursery.com/plant-name/Mimulus-ringens,,https://www.pinelandsnursery.com/mimulus-ringens-allegehney-monkey-flower-seed,
"Herbaceous, Perennial",MD,Monarda didyma,BEE-BALM,2 - 4,2 - 3,Red,"Jul, Aug, Sep","Full Sun, Part Shade","Medium, Wet",FAC,Zone 4 to 9,"Hummingbirds, Butterflies","Rabbit, Deer, Clay Soil, Wet Soil, Black Walnut","Rich, moist, acid soils. Juglone tolerant.",,Medium,"Moist, open woods; meadows; stream banks; mountains to 6500 feet","Best grown in rich, medium to wet, moisture-retentive soils in full sun to part shade. Prefers rich, humusy soils in full sun, although some afternoon shade is appreciated in hot summer climates. Does best in well-draining conditions, but can tolerate heavier clay. Soil should not be allowed to dry out. Deadhead flowers to prolong summer bloom. Divide clumps every 3-4 years to prevent overcrowding and to control spread of the plant. Provide plants with good air circulation to help combat fungal leaf diseases (see Problems section below). Deadhead flowers immediately after bloom to prevent self-seeding. Spreads by rhizomes and self-seeding to form colonies.","Butterfly magnet for border fronts. Provides color and contrast for the perennial border, cottage garden, wild garden, native plant garden, meadow, herb garden, naturalized planting or along ponds or streams. Can be used in fresh cut arrangements. Good plant for butterfly gardens and bird gardens.","Use Ornamental: Valued for its bright flowers and minty aroma, Use Wildlife: Hummingbirds, butterflies, and bees are attracted to the blossoms of Oswego tea., Use Food: Occasionally used in Earl Grey tea., Use Medicinal: It's medicinal uses include expelling worms, and for treating gas, fever and stomach ailments. (Lamb/Rhynard) The name Oswego Tea"""" comes from the fact that the leaves were used for a tea by the Oswego Indians of New York. Early settlers also used the plant for this purpose when regular tea was scarce. (Niering) The name Beebalm comes from the folk use of crushed leaves to soothe bee stings.","Maintenance: Can colonize by rhizomes. If want to keep in bounds, divide every 3 years.","Powdery mildew can be a serious problem, particularly in crowded gardens with poor air circulation. In addition, if the soil is allowed to dry out, the stressed plants become increasingly susceptible to disease. Rust can also be a problem. Deer and rabbits tend to avoid this plant.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=q250,https://www.wildflower.org/plants/result.php?id_plant=MODI,https://www.pleasantrunnursery.com/plant-name/Monarda-didyma,https://newmoonnursery.com/nursery-plants/monarda-didyma-gardenview-scarlet/,https://www.pinelandsnursery.com/monarda-didyma-scarlet-beebalm-2-plug,
"Herbaceous, Perennial",MF,Monarda fistulosa,WILD BERGAMOT,2 - 4,2 - 3,Lavender,"Jul, Aug, Sep","Full Sun, Part Shade","Dry, Medium",FACU,Zone 3 to 9,"Hummingbirds, Butterflies","Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut","Thrives in a wide range of soils, from acid to lime to rich to poor to sand to clay. Less tolerant of flooding, but can take it in the winter.",Prevent mildew by providing good drainage and air circulation.,Medium,"Grows in dry open woods, fields, wet meadows and ditches, and at the edges of woods and marshes in the eastern fourth of Texas. Well-drained but moist sand, loam, clay; acidic or calcareous soils. Zones 4 to 8.","Best grown in dry to medium moisture, well-drained soils in full sun to part shade. Tolerates somewhat poor soils and some drought. Plants need good air circulation. Deadhead flowers to prolong summer bloom. Tends to self-seed.","Provides color and contrast for the herb garden, wild garden, native plant garden, meadow or naturalized area. May be used in the perennial border, but is simply a less colorful selection than the similar-in-appearance Monarda didyma and its many cultivars (the beebalms).","Use Ornamental: A hardy garden standard, with brilliant blooms and pleasantly fragrant foliage, many cultivars. Though prone to mildew in soils that aren't well aerated, selection 'Claire Grace' is more mildew resistant., Use Wildlife: Birds, Hummingbirds, Butterflies, Use Food: Leaves boiled for tea, used for seasoning, chewed raw or dried; flowers edible., Use Medicinal: Long ago, oil from the leaves was used to treat respiratory ailments. (Niering), Use Other: The fragrant leaves can be used for perfume.","Maintenance: Colonizes by rhizomes so lift and divide every 3 years to contain it, improve air circulation and improve plant vigor.","Powdery mildew can be a significant problem with the monardas, particularly in crowded gardens with poor air circulation. This species has good mildew resistance, however. Rust can also be a problem.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g560,https://www.wildflower.org/plants/result.php?id_plant=mofi,https://www.pleasantrunnursery.com/plant-name/Monarda-fistulosa,https://newmoonnursery.com/nursery-plants/monarda-fistulosa-claire-grace/,https://www.pinelandsnursery.com/monarda-fistulosa-wild-bergamot-seed,
"Herbaceous, Perennial",PD,Penstemon digitalis,FOXGLOVE BEARDTONGUE,3 - 5,1.5 - 2,Blue,"Jul, Aug, Sep, Oct",Full Sun,"Dry, Medium",FAC,Zone 3 to 8,"Hummingbirds, Butterflies","Deer, Drought, Clay Soil, Dry Soil","Fertile, well-drained loams, clay loams, and sand. Acid preferably but tolerates lime.",Will tolerate dry shade.,Medium,"Low, moist areas; prairies; open woodlands","Best grown in average, dry to medium moisture, well-drained soil in full sun. Tolerant of occasional drought and inundation once established. Can be grown in clay soils but avoid overly wet, poorly drained conditions.","Mass in sunny borders, rain gardens, wild gardens, native plant gardens or naturalized areas. Excellent for fresh cut flower arrangements.","Use Ornamental: A great bloomer for clay loam in areas with poor drainage., Use Wildlife: Hummingbirds and bumblebees","Maintenance: For a neat appearance, cut bloom stalks once they've turned brown. Somewhat short-lived, so keep a supply of seed on hand to renew your population.","Root rot can occur in wet, poorly-drained soils. Leaf spots are occasional problems. Can spread somewhat aggressively in a garden setting. Deer tend to avoid this plant.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g590,https://www.wildflower.org/plants/result.php?id_plant=pedi,https://www.pleasantrunnursery.com/plant-name/Penstemon-digitalis,https://newmoonnursery.com/nursery-plants/penstemon-digitalis-pocahontas/,https://www.pinelandsnursery.com/penstemon-digitalis-foxglove-beardtongue-1-pot,
"Herbaceous, Perennial",PD1,Phlox divaricta,WOODLAND PHLOX,0.75 - 1,0.75 - 1,,,"Part Shade, Full Shade",Medium,FACU,Zone 3 to 8,"Hummingbirds, Butterflies","Deer, Drought, Clay Soil, Dry Soil","Rich, moist, acid soils, but also found in calcareous areas. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay.",,Medium,"Moist, rich, deciduous woods and bluffs","Best grown in humusy, medium moisture, well-drained soil in part shade to full shade. Prefers rich, moist, organic soils. Appreciates a light summer mulch which helps retain moisture and keep roots cool.","Rock gardens, border fronts, wild gardens, native plant gardens or naturalized areas. Also an effective, shallow-rooted cover for early spring bulbs.","Use Ornamental: Showy, attractive, colorful blooms for the, Use Wildlife: Flowers attract butterflies, including swallowtails, gray hairstreaks, and western pygmy blues. Roots consumed by rabbits and voles.",Maintenance: Remove spent inflorescences to encourage more flowering. Prevent complete soil dryness. Add compost to enrich the soil as needed.,"Powdery mildew can be a serious problem. Cutting back stems after flowering helps combat mildew. Spider mites can also be a problem, particularly in hot, dry conditions. Watch out for rabbits.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e580,https://www.wildflower.org/plants/result.php?id_plant=PHDI5,https://www.pleasantrunnursery.com/plant-name/Phlox-divaricata-Blue-Moon,https://newmoonnursery.com/nursery-plants/phlox-subulata-emerald-pink/,https://www.pinelandsnursery.com/search?query=Phlox+divaricta,
"Herbaceous, Perennial",PP,Phlox paniculata,GARDEN PHLOX,2 - 4,1.5 - 3,,,"Full Sun, Part Shade",Medium,FACU,Zone 4 to 8,"Hummingbirds, Butterflies","Deer, Clay Soil, Black Walnut","Organic, Loam",Plants of this species have furnished the stock for many horticultural varieties. The plant need at least 6 hrs. of sun per day. Powdery mildew is a frequent problem.,Medium,"Rich, open woods; thickets; meadows; moist roadsides","Grow in moderately fertile, medium moisture, well-drained soil in full sun to light shade. Best in full sun. Prefers rich, moist, organic soils. Also prefers climates with mild summers compared to very hot and humid conditions. Needs good air circulation (space well and thin out stems as needed) to help combat potential powdery mildew problems. Intolerant of drought and needs to be watered in dry spells. Avoid overhead watering however. Appreciates a summer mulch which helps keep the root zone cool. For winter, cut plants to the ground and remove from the garden plus clean up all plant areas in order to minimize possible powdery mildew infection for the following growing season. Remove faded flower panicles to prolong bloom period and to prevent unwanted self-seeding (cultivars generally do not come true from seed).","Garden phlox is a staple of the perennial border. Mixes well with other perennials and provides long summer bloom. Regardless of flower color, garden phlox is attractive to hummingbirds and is a good selection for inclusion in a bird garden.",,,"Phlox is not always an easy plant to grow well. Phlox bugs, powdery mildew and root rot can be serious problems. Spider mites can also be a problem, particularly in hot, dry conditions. Taller stems may need staking. 'Jeana' is noted for having excellent resistance to powdery mildew.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f222,https://www.wildflower.org/plants/result.php?id_plant=phpa9,https://www.pleasantrunnursery.com/plant-name/Phlox-paniculata-Blue-Paradise,https://newmoonnursery.com/nursery-plants/phlox-paniculata-jeana/,https://www.pinelandsnursery.com/search?query=Phlox+paniculata,
"Herbaceous, Perennial",PS,Phlox stolonifera,CREEPING PHLOX,0.5 - 1,0.75 - 1.5,"White, Blue, Purple","Apr, May","Full Sun, Part Shade",Medium,,Zone 5 to 9,"Butterflies, Pollinators","Rabbit, Deer, Drought, Air Pollution, Clay Soil Tolerant",Humus-rich soil.,"Creeping phlox will do poorly in full sun, and slugs can be troublesome in very moist soils. In congenial conditions, however, this is a vigorous plant that can become weedy. Ground Cover",Low,Woods & wooded stream banks,"Best grown in humusy, medium moisture, well-drained soil in full sun to part shade. Good shade tolerance. Prefers acidic, rich, organic soils with continuous, even moisture. Species self-seeds in optimum growing conditions. Spreads by stolons to form large colonies in the wild as both the common and species names suggest.","Ground cover for woodland gardens, shade gardens, native plant gardens or naturalized areas. Also an effective cover for early spring bulbs. Also appropriate for shaded areas of border fronts and rock gardens.",,,"Powdery mildew can be a problem as summer humidity kicks in. Cutting back stems after flowering helps combat mildew and prevents self-seeding. Spider mites can also be a problem, particularly in hot, dry conditions. Watch out for rabbits.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285438,https://www.wildflower.org/plants/result.php?id_plant=PHST3,https://www.pleasantrunnursery.com/plant-name/Phlox-stolonifera-Blue-Ridge,https://newmoonnursery.com/nursery-plants/phlox-stolonifera/,https://www.pinelandsnursery.com/search?query=Phlox+stolonifera,
"Herbaceous, Perennial",PV,Physostegia virginiana,FALSE DRAGONHEAD,3 - 4,2 - 3,Pink,"Jun, Jul, Aug",Full Sun,Medium,FACW,Zone 3 to 9,"Hummingbirds, A Favorite of Honey Bees","Deer, Clay Soil","Moist, humus-rich soils.","Obedient plant receives its name from the characteristic fact that if you manipulate an individual flower back and forth on its axis, it will stay in position you place it. It is wonderfully adaptable, tolerating both drought and poor drainage. Spreads aggressively by stolons, but is easy to pull out and keep in check. Obedient plant is a good",Medium,"River banks; wet thickets; prairies, River banks, swamps, and low grounds in East and North Central Texas. Sand, clay, limestone; poor drainage okay.","Easily grown in average, moist, acidic, well-drained soils in full sun. Stems tend to flop in rich soils, too much shade or hot summer temperatures. Taller plants may need staking. Tolerates wet soils and some part shade.","Borders, cottage gardens, wild gardens, prairies or meadows.","Use Wildlife: Hummingbirds, Butterflies",,Rust is an occasional problem. Watch for aphids and spider mites. Species plants can be an aggressive spreader.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g620,https://www.wildflower.org/plants/result.php?id_plant=phvi8,https://www.pleasantrunnursery.com/plant-name/Physostegia-virginiana-Miss-Manners,https://newmoonnursery.com/nursery-plants/physostegia-virginiana-vivid/,https://www.pinelandsnursery.com/rosa-virginiana-virginia-rose-1-pot,
"Herbaceous, Perennial",PV1,Pycnanthemum virginianum,VIRGINIA MOUNTAIN-MINT,2 - 3,1 - 1.5,"White, Purple","Jun, Jul",Full Sun,Medium,,Zone 3 to 7,"Butterflies, Pollinators","Clay Soil Tolerant, Wet Site Tolerant","Mesic to dry, rich soils.",Can become invasive but is easily controlled by division every 3-5 years. Foliage in direct sun can become scorched.,Low,Thickets; pastures,"Easily grown in average, medium, well-drained soil in full sun.","Interesting plant for the herb garden, border, naturalized area or meadow. Also may be grown in open areas near ponds and streams.","Use Ornamental: Valued primarily for its silvery foliage, secondarily for its flowers.",,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l880,https://www.wildflower.org/plants/result.php?id_plant=PYIN,https://www.pleasantrunnursery.com/plant-name/Pycnanthemum-virginianum,https://newmoonnursery.com/nursery-plants/pycnanthemum-virginianum/,https://www.pinelandsnursery.com/pycnanthemum-virginianum-virginia-mountain-mint-seed,
"Herbaceous, Perennial",RF,Rudbeckia fulgida,ORANGE CONEFLOWER,2 - 3,2 - 2.5,Yellow Orange,"Jul, Aug, Sep, Oct",Full Sun,"Dry, Medium",FAC,Zone 3 to 9,"Birds, Butterflies","Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Air Pollution",Various soils.,Easy and trouble-free,Low,Open woods; meadows; pastures,"Easily grown in dry to medium, organically rich to average, well-drained soils in full sun. Best bloom occurs in full sun, although plants will tolerate some light shade. Plants prefer consistent moisture throughout the growing season, with some tolerance for drought once established. Tolerant of a wide range of growing conditions including dry soil, clay soil, and urban environments. Good air circulation is appreciated. Deadhead spent flowers to encourage additional bloom. Plants slowly spread in the garden by rhizomes.","Mass in bold drifts in the perennial border, cottage garden, meadow, rain garden, native plant garden or naturalized area. Provides excellent bloom and color for the late summer. Good cut flower.",,,"No serious insect or disease problems, but aphids, powdery mildew, downy mildew, aster yellows, and leaf spot diseases can appear. Deer tend to avoid this plant.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g630,https://www.wildflower.org/plants/result.php?id_plant=rufu2,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-fulgida-var-deamii,https://newmoonnursery.com/nursery-plants/rudbeckia-fulgida-v-fulgida/,https://www.pinelandsnursery.com/rudbeckia-fulgida-orange-coneflower-1-pot,
"Herbaceous, Perennial",RH,Rudbeckia hirta,BLACK-EYED SUSAN,1 - 1.5,1 - 1.5,Yellow,"Jun, Jul, Aug, Sep, Oct",Full Sun,Medium,FACU,Zone 3 to 8,Butterflies,"Deer, Drought, Clay Soil","Moist to dry, well-drained soils. Juglones tolerant",The cheerful blossoms of the Black-eyed Susans liven up bouquets. This annuals may bloom longer with some afternoon shade. Birds enjoy the ripe seeds. Black-eyed Susan can become aggressive if given too,Low,"Prairie, Plains, Meadows, Pastures, Savannas, Woodlands' edge, Opening","Annual, biennial, or short-lived perennial that is winter hardy to USDA Zones 3-7. It blooms in the first year from seed planted in early spring, and is accordingly often grown as an annual. It is easily grown in average, medium moisture, well-drained soils in full sun. Best in moist, organically rich soils. Tolerates heat, drought and a wide range of soils except poorly-drained wet ones. For best result from seed in the St. Louis area, start seed indoors around March 1. Seed may also be sown directly in the garden at last frost date. Some varieties are available in cell/six packs from nurseries. Set out seedlings or purchased plants at last frost date. Deadhead spend flowers to encourage additional bloom and/or to prevent any unwanted self-seeding. Whether or not plants survive from one year to the next, they freely self-seed and will usually remain in the garden through self-seeding.",Borders. Annual beds. Cottage gardens. Wild gardens. Meadows. Groups or mass plantings. Good cut flower.,"Use Ornamental: Color, Showy, Blooms ornamental, Wildflower meadow, Pocket prairie, Use Wildlife: Nectar-Bees, Nectar-Butterflies, Nectar-insects, Seeds-Granivorous birds, Use Medicinal: Amerindians used root tea for worms, colds; external wash for sores, snakebites, swelling; root juice for earaches. (Foster & Duke)","Maintenance: Black-eyed Susans are drought tolerant but respond well to an occasional watering. Additional irrigation in a dry year will improve the density of the stand and lengthen the flowering season. Do not mow until after the plants have formed mature seed cones, about three to four weeks after flowering. (Check by breaking a cone open and if the seeds are dark, they are mature.) The number of volunteer plants can be limited by removing the seed heads after the flowers are done.",No serious insect or disease problems. Susceptible to powdery mildew. Watch for slugs and snails on young plants. Can self-seed freely. Deer tend to avoid this plant.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=298813,https://www.wildflower.org/plants/result.php?id_plant=ruhi2,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-hirta,https://newmoonnursery.com/nursery-plants/6872-2/,https://www.pinelandsnursery.com/rudbeckia-hirta-black-eyed-susan-seed,
"Herbaceous, Perennial",RL,Rudbeckia laciniata,CUTLEAF CONEFLOWER,2 - 9,1.5 - 3,,,"Full Sun, Part Shade",Medium,FACW,Zone 3 to 9,Butterflies,Deer,"Moist, slightly acid soil.","Because it spreads rampantly by underground stems, cut-leaf coneflower is only appropriate for large sites. May need staking in garden situations but otherwise very hardy. (Ontario",Medium,"Low, rich woods; wet fields; alluvial thickets","Easily grown in average, medium, well-drained soil in full sun to part shade. Tolerates hot and humid summers. Can spread aggressively by underground stems, which may be a concern if grown in the border. Divide clumps to control growth. Remove spent blooms to encourage a fall rebloom.","Borders, meadows, cottage gardens, native plant gardens or naturalized areas.",Use Food: Early spring leaves boiled for greens by Cherokees and other Southeastern peoples.,,No serious insect or disease problems. Taller plants may need support.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m200,https://www.wildflower.org/plants/result.php?id_plant=rula3,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-laciniata,https://newmoonnursery.com/nursery-plants/rudbeckia-laciniata/,https://www.pinelandsnursery.com/rudbeckia-laciniata-seed,
"Herbaceous, Perennial",SP,Siphium perfoliatum,CUP-PLANT,4 - 8,1 - 3,White,"Jul, Aug, Sep",Full Sun,"Medium, Wet",FAC,Zone 3 to 9,"Birds, Butterflies","Clay Soil, Wet Soil",Wet to mesic soils. Will tolerate clay soil.,"Unstoppable urge to reproduce, they will pop up everywhere; very little care needed.",Low,Moist woods; prairies; low ground,"Easily grown in average, medium to wet soils in full sun. Prefers moist, rich soils, but tolerates some drought once established. Somewhat slow to establish when grown from seed. Self-seeds in optimum growing conditions.","A large plant that needs lots of space. Some gardeners find cup plant to be too large and weedy for border rears, but others find it to be an effective backdrop for other perennials. Adapts well to prairies, wildflower/native plant gardens, naturalized areas or moist, open woodland areas including stream/pond edges.",Use Wildlife: Attracts birds for seed.,,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g650,https://www.wildflower.org/plants/result.php?id_plant=SIPE2,https://www.pleasantrunnursery.com/plant-name/Eupatorium-perfoliatum,,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed,
"Herbaceous, Perennial",SR,Smilacina raceoscum,FALSE SOLOMON’S SEA,2 - 3,1.5 - 2,,,"Part Shade, Full Shade",Medium,FACU,Zone 3 to 8,"Butterflies, Pollinators",Drought Tolerant,,,Medium,,"Easily grown in evenly moist, well-drained soils in part shade to full shade. Prefers rich, loose, moist, humusy soils. May grow poorly in hot, humid summer climates. Roots do not like to be disturbed, particularly before plant becomes established.","Best when massed in naturalized plantings, wild gardens, native plant gardens, or woodland gardens. Effective with hostas and ferns. Also may be grown in shady borders or in moist areas near streams or ponds.",,,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m390,https://www.wildflower.org/plants/result.php?id_plant=MARA7,https://www.pleasantrunnursery.com/plant-name/Baptisia-alba-var-macrophylla,,https://www.pinelandsnursery.com/search?query=Smilacina+raceoscum,
"Herbaceous, Perennial",SN,Solidago nemoralis,GRAY GOLDENROD,0.5 - 2,0.5 - 2,Yellow,"Jun, Jul, Aug, Sep, Oct",Full Sun,"Dry, Medium",FACW,Zone 3 to 9,Butterflies,"Deer, Drought, Dry Soil, Shallow-Rocky Soil",,,Low,,"Easily grown in average, dry to medium, slightly acidic, well-drained soils in full sun. Prefers full sun and dry soil. Tolerates light shade. Intolerant of full shade. Likes rocky, sandy soils. Tolerates poor soils, but plants generally grow taller and more vigorously in rich soils. This is a rhizomatous, spreading, somewhat weedy plant that can colonize an area by creeping rhizomes and self-seeding. Removal of flower heads prior to ripening of seed, if practicable, will help prevent seed dispersal.","Typically not planted in formal garden settings because of its spreading rhizomatous growth and self-seeding. Plants grow as somewhat unexceptional mounds of green foliage until the flowers explode into bloom in late summer. Meadows, wild gardens, and cottage gardens where plants can naturalize. Good choice for challenging areas with poor soils where other types of plants are difficult to grow.",,,"No serious insect or disease problems. Susceptible to rust, anthracnose, powdery mildew and leaf spot. Root rot may occur in poorly-drained soils. Potential insect pests include several different types of beetles, aphids and gall-forming insects. Plants can be aggressive spreaders in optimum growing conditions, but are generally not considered to be invasive in the U.S.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277240,https://www.wildflower.org/plants/result.php?id_plant=sogi,https://www.pleasantrunnursery.com/plant-name/Solidago-nemoralis,https://newmoonnursery.com/nursery-plants/solidago-nemoralis/,https://www.pinelandsnursery.com/solidago-nemoralis-gray-goldenrod-seed,
"Herbaceous, Perennial",SS,Solidago sempervirens,GOLDENROD,2 - 3,2 - 3,Yellow,"Aug, Sep, Oct",Full Sun,"Dry, Medium",FACW,Zone 3 to 8,Butterflies,"Deer, Drought, Clay Soil",Sandy soils.,Pinch the growing tips in June for a more compact plant. This goldenrod does not spread by rhizomes or become invasive. It is resistant to salt spray.,Medium,Saline places along the coast,"Easily grown in average, dry to medium, well-drained soil in full sun. Tolerates poor, dry soils. Remove spent flower clusters to encourage additional bloom.","Provides good color and contrast in late summer for the perennial border, wild garden, prairie, meadow, native plant garden or naturalized area.",,,No serious insect or disease problems. Leaf rust is an occasional problem. May need to be divided every 2 to 3 years to control growth.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g690,https://www.wildflower.org/plants/result.php?id_plant=sose,https://www.pleasantrunnursery.com/plant-name/Buxus-sempervirens,https://newmoonnursery.com/nursery-plants/aster-puniceus/,https://www.pinelandsnursery.com/solidago-sempervirens-seaside-goldenrod-2-plug,
"Herbaceous, Perennial",SL,Stokesia laevis,STOKES’ ASTER,1 - 2,1 - 1.5,,,Full Sun,Medium,FAC,Zone 5 to 9,"Butterflies, Pollinators","Rabbit, Drought, Drought Tolerant","Moist, rich, well-drained soil, acidic sands preferred.","Winter hardy to Zone 5, well north of its",Low,"Coastal plains, bogs, pine savanna, and open woodlands.","Easily grown in average, medium moisture, well-drained soil in full sun. Tolerates filtered sunlight, but prefers full sun. Prefers moist, sandy soils, but has surprisingly good drought and heat tolerance. Wet soil in winter is the main cause of death for this plant. A well-drained soil is essential. These plants appreciate winter mulch in the northern parts of their growing range (USDA Zone 5). Deadhead individual spent flowers and remove spent flowering stems to encourage additional bloom. Plants can be cut back to basal foliage after bloom.","Border fronts or cottage gardens. Moist areas along ponds, streams or water gardens. Small groupings or mass.","Use Ornamental: A low-maintenance, low-growing groundcovering plant with attractive flowers.","Maintenance: Colonizes vigorously, so lift and divide every 3 or 4 years if want to keep thinned.","No serious insect or disease problems. Watch for caterpillars. Flower stems tend to flop, particularly after a strong Midwestern thundershower.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i900,https://www.wildflower.org/plants/result.php?id_plant=stla6,https://www.pleasantrunnursery.com/plant-name/Stokesia-laevis-Peachie-s-Pick,https://newmoonnursery.com/nursery-plants/coreopsis-verticillata-zagreb/,https://www.pinelandsnursery.com/search?query=Stokesia+laevis,
"Herbaceous, Perennial",SL1,Symphyotrichum laeve,SMOOTH ASTER,2 - 4,1 - 2,"Blue, Purple","Aug, Sep, Oct",Full Sun,"Dry, Medium",,Zone 3 to 8,Butterflies,"Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Variable.,,Low,Open woods; dry to mesic prairies,"Easily grown in average, dry to medium, well-drained soil in full sun. Easily self-seeds.","Late blooming perennial aster for the border, wildflower, native or cottage garden. Grows well with Helianthus and Solidago .",Use Wildlife: Birds.,,No serious insect or disease problems. May need staking.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g420,https://www.wildflower.org/plants/result.php?id_plant=sylal3,https://www.pleasantrunnursery.com/plant-name/Aster-laeve,https://newmoonnursery.com/nursery-plants/aster-laevis/,https://www.pinelandsnursery.com/symphyotrichum-laeve-smooth-aster-seed,
"Herbaceous, Perennial",SN1,Symphyotrichum novae,NEW ENGLAND ASTER,3 - 6,2 - 3,"Pink, Purple","Aug, Sep, Oct",Full Sun,Medium,FACW,Zone 4 to 8,Butterflies,Clay Soil,Moist soils.,New England aster flowers until frost. Its roots should be divided every several years to keep the plant growing vigorously. Can be aggressive.,Medium,"Moist, open, wooded areas; meadows; mesic prairies; disturbed sites; stream banks","Easily grown in average, medium, well-drained soil in full sun. Prefers moist, rich soils. Good air circulation helps reduce incidence of foliar diseases. Pinching back stems several times before mid-July will help control plant height, promote bushiness and perhaps obviate the need for staking. Pinching back will also delay flowering. Easily grown from seed and may self-seed in the garden in optimum growing conditions. Plants may be cut to the ground after flowering to prevent any unwanted self-seeding and/or if foliage has become unsightly.",Provides color and contrast to the fall perennial border front. Mass or plant in groups. Also effective naturalized in drifts in meadows or in native or wildflower gardens.,Use Wildlife: Bees and butterflies frequent this wildflower.,,"Some susceptibility to powdery mildew. Aster wilt can also be an occasional problem, particularly if plants are grown in poorly-drained clay soils. Taller plants may require staking or other support.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b540,https://www.wildflower.org/plants/result.php?id_plant=syno2,https://www.pleasantrunnursery.com/plant-name/Aster-novae-angliae,https://newmoonnursery.com/nursery-plants/aster-novae-angliae/,https://www.pinelandsnursery.com/symphyotrichum-novae-angliae-new-england-aster-seed,
