Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
64,"Grasses, Sedges, and Rushes",CC,Carex crinita,Fringed Sedge,1 - 3,1 - 2,,,,,,,,,,
65,"Grasses, Sedges, and Rushes",CG1,Carex grayi,Gray Sedge,,,,,,,,,,,,
66,"Grasses, Sedges, and Rushes",CL1,Carex laxiculmis,Creeping Sedge,,,,,,,,,,,,
67,"Grasses, Sedges, and Rushes",CP1,Carex pensylvanica,Pennsylvania sedge or Oak sedge,,,,,,,,,,,,
68,"Grasses, Sedges, and Rushes",CP2,Carex plantaginea,Seersucker Sedge,,,,,,,,,,,,
69,"Grasses, Sedges, and Rushes",CS,Carex stipata,Awl-fruited sedge,1 - 3,,,,,,,,,,,
70,"Grasses, Sedges, and Rushes",CS1,Carex stricta,Tussock Sedge,2 - 5,2 - 3,,,,,,,,,,
71,"Grasses, Sedges, and Rushes",CV,Carex vulpinoidea,Fox sedge,3.5,,,,,,,,,,,
72,"Grasses, Sedges, and Rushes",CL2,Chasmanthium latifolium,Northern sea oats,3 - 5,2 - 3,,,,,,,,,,
73,"Grasses, Sedges, and Rushes",DC,Deshampsia cespitosa,Tufted hairgrass,2 - 4,1 - 2,,,,,,,,,,
74,"Grasses, Sedges, and Rushes",EV,Elymus virginicus,Virginia wild rye,3 - 5,,,,,,,,,,,
75,"Grasses, Sedges, and Rushes",ES,Eragrostis spectabilis,Purple lovegrass,1 - 2,2 - 3,,,,,,,,,,
76,"Grasses, Sedges, and Rushes",JE,Juncus effusus,Soft rush,3.5,,,,,,,,,,,
77,"Grasses, Sedges, and Rushes",PV2,Panicum virgatum,Switchgrass,,,,,,,,,,,,
78,"Grasses, Sedges, and Rushes",SS1,Schizachyrium scoparium,Little Bluestem,,,,,,,,,,,,
79,"Grasses, Sedges, and Rushes",SN3,Sorghastrum nutans,Indiangrass,3 - 5,,,,,,,,,,,
80,"Grasses, Sedges, and Rushes",SH,Sporobolus heterolepis,Prairie Dropseed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=5512,https://www.wildflower.org/gallery/result.php?id_image=43975
82,Shrubs,AP,Andromeda polifolia,Bog Rosemary,1 - 2,2 - 6,,,,,,,,,,
83,Shrubs,AA,Aronia arbutifolia,Red chokeberry,6 - 12,3 - 6,,,,,,,,,,
84,Shrubs,AM,Aronia melanocarpa,Black chokeberry,3 - 6,3 - 6,,,,,,,,,,
85,Shrubs,CO,Cephalanthus occidentalis,Buttonbush,6 - 12,12 - 20,,,,,,,,,,
86,Shrubs,CA1,Clethra alnifolia,Sweet Pepperbush/ Summersweet,6 - 12,3 - 6,,,,,,,,,,
87,Shrubs,CA2,Cornus amomum,Silky Dogwood,6 - 12,6 - 12,,,,,,,,,,
88,Shrubs,CR,Cornus racemosa,Graystem dogwood,6 - 12,6 - 12,,,,,,,,,,
89,Shrubs,CS2,Cornus sericea,Red-osier Dogwood aka Red-twig Dogwood,6 - 12,6 - 12,,,,,,,,,,
90,Shrubs,HV,Hamamelis Virginiana,Witchhazel,,15 - 20,,,,,,,,,,
91,Shrubs,HQ,Hydrangea quercifolia,Oakleaf Hydrangea,6 - 8,,,,,,,,,,,
92,Shrubs,IG,Ilex glabra,Inkberry,6 - 8,6 - 12,,,,,,,,,,
93,Shrubs,IV1,Ilex verticillata,Common winterberry,6 - 12,6 - 12,,,,,,,,,,
94,Shrubs,IV2,Itea virginica,Virginia Sweetspire,6 - 12,6 - 12,,,,,,,,,,
95,Shrubs,KL,Kalmia latifolia,Mountain laurel,6 - 20,5 - 12,,,,,,,,,,
96,Shrubs,LR,Leucothoe racemosa,Fetterbush,13,,,,,,,,,,,
97,Shrubs,LB,Lindera benzoin,Spicebush,6 - 12,6 - 12,,,,,,,,,,
98,Shrubs,MP,Myrica pensylvanica,Northern Bayberry,6 - 12,6 - 12,,,,,,,,,,
99,Shrubs,RV,Rhododendron viscosum,Swamp azalea,6 - 12,6 - 12,,,,,,,,,,
100,Shrubs,RA,Rhus aromatica,Fragrant Sumac,,,,,,,,,,,,
101,Shrubs,RC1,Rosa carolina,Carolina Rose,,,,,,,,,,,,https://www.wildflower.org/plants/result.php?id_plant=roca4
102,Shrubs,SC,Sambucus canadensis,Elderberry or American elder,6 - 12,6 - 12,,,,,,,,,,
103,Shrubs,SL2,Spiraea latifolia,Meadowsweet,3 - 6,,,,,,,,,,,
104,Shrubs,ST,Spiraea tomentosa,Steeplebush,2 - 4,3 - 5,,,,,,,,,,
105,Shrubs,VC,Vaccinium corymbosum,Highbush Blueberry,6 - 10,1.5 - 3,,,,,,,,,,
106,Shrubs,VA,Viburnum acerifolium,Mapleleaf Viburnum,,,,,,,,,,,,
107,Shrubs,VD,Viburnum dentatum,Arrowwood Viburnum,3 - 10,8,,,,,,,,,,
108,Shrubs,VL,Viburnum lentago,Nannyberry,20 - 35,10 - 35,,,,,,,,,,
109,Shrubs,VN1,Viburnum nudum,Possumhaw Virburnum,,,,,,,,,,,,
110,Shrubs,VT,Viburnum trilobum,Cranberry viburnum,,,,,,,,,,,,
112,Trees,AC1,Amelanchier canadensis,Serviceberry,35 - 50,35 - 50,,,,,,,,,,
113,Trees,AT3,Asimina triloba,Common Pawpaw,30,40,,,,,,,,,,
114,Trees,BN,Betula nigra,River birch,50 - 75,35 - 50,,,,,,,,,,
115,Trees,CC1,Cercis canadensis,Eastern redbud,40,20,,,,,,,,,,
116,Trees,CF,Cornus florida,Flowering dogwood,30,15,,,,,,,,,,
117,Trees,MV,Magnolia virginiana,Sweetbay magnolia,12 - 20,12 - 20,,,,,,,,,,
