Key / Botanical,Column,Gold value,Scraper value
AC,Culture,"""Easily grown in average, medium, well-drained soil in full sun to part shade. Wide range of soil tolerance as long as drainage is good. Prefers rich, moist soils in light to moderate shade. Freely self-seeds and will naturalize to form large colonies in optimum growing conditions. Remove flowering stems after bloom to encourage additional bloom. Keep soils uniformly moist after bloom to prolong attractive foliage appearance. When foliage depreciates, plants may be cut to the ground.""","Easily grown in average, medium, well-drained soil in full sun to part shade. Wide range of soil tolerance as long as drainage is good. Prefers rich, moist soils in light to moderate shade. Freely self-seeds and will naturalize to form large colonies in optimum growing conditions. Remove flowering stems after bloom to encourage additional bloom. Keep soils uniformly moist after bloom to prolong attractive foliage appearance. When foliage depreciates, plants may be cut to the ground."
AC,Uses,"""Borders, cottage gardens, open shade gardens, woodland gardens or naturalized areas. Also a good selection for a hummingbird garden. Continue to water plants after bloom to enjoy the ground cover effect of the attractive foliage.""","Borders, cottage gardens, open shade gardens, woodland gardens or naturalized areas. Also a good selection for a hummingbird garden. Continue to water plants after bloom to enjoy the ground cover effect of the attractive foliage."
AC,UseXYZ,"Use Ornamental: Valued as a shade-loving perennial with attractive foliage and eye-catching blooms. Also does well as a saucerless pot plant. | Use Wildlife: Blooms attract hummingbirds, bees, butterflies, and hawk moths. Seeds consumed by finches and buntings. | Use Other: Native American men reputedly rubbed crushed seeds on themselves to attract amorous attention.",
AC,Propagation:Maintenance,"Maintenance: Be careful of overwatering in summer - the crowns can rot. Cut back old seed heads and stems in summer to keep tidy looking. To maintain pure strains of any Aquilegia species and prevent hybridizing (which A. canadensis will readily do), keep different species widely separated - not a surefire protection, but reduces the likelihood.",
AC,Problems,"""This species has very good resistance to leaf miner which often causes severe damage to the foliage of many other columbine species and hybrids.""",This species has very good resistance to leaf miner which often causes severe damage to the foliage of many other columbine species and hybrids.
AT1,Bloom Color,"Green, Purple, Brown",
AT1,Bloom Time,"Mar, Apr, May, Jun",
AT1,Sun,"Part Shade, Full Shade",Part shade to full shade
AT1,Water,"medium, wet",medium to wet
AT1,Tolerates,"Wet Soil, Heavy Shade, Black Walnut","Heavy Shade, Wet Soil, Black Walnut"
AT1,Soil Description,"Humus-rich, moist soils.",
AT1,Condition Comments,"""Jack-in-the-pulpit is an excellent woodsgarden plant, very easy to cultivate and requiring very little care. It thrives under a variety of conditions, but grows most vigorously in moist, shady, seasonally wet locations. A heavy, leafy wintercover should be left in place.""",
AT1,Native Habitats,"Forest, Woodland, Swamp, Marsh",
AT1,Culture,"""Best grown in fertile, medium to wet soil in part shade to full shade. Needs constantly moist soil rich in organic matter. Does poorly in heavy clay soils. May be grown from seed, but takes five years for plant to flower.""","Best grown in fertile, medium to wet soil in part shade to full shade. Needs constantly moist soil rich in organic matter. Does poorly in heavy clay soils. May be grown from seed, but takes five years for plant to flower."
AT1,Uses,"""Best left undisturbed in the shady woodland garden, wild garden or native plant garden.""","Best left undisturbed in the shady woodland garden, wild garden or native plant garden."
AT1,UseXYZ,Use Wildlife: Birds and mammals eat the berries of this plant.,
AT1,Problems,"""No serious insect or disease problems.""",No serious insect or disease problems.
AI,Bloom Color,"Pink, Purple",White
AI,Bloom Time,"Jun, Jul, Aug, Sep, Oct",
AI,Sun,Full Sun,Full sun
AI,Water,"medium, wet",medium to wet
AI,Soil Description,"Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",
AI,Condition Comments,"""With its showy flower clusters that attract butterflies and hummingbirds, swamp milkweed is underutilized in gardens. In moist soils or in a pond, it will thrive. The interesting seed pods look like other milkweeds. Swamp milkweed will inevitably have aphids. The insects are not a problem unless the plant looks sick; at that point an effective treatment is to spray the plant and aphids with soapy water. Another possible treatment is to support the plant part with your hand and blast it with high-pressure water. Good for wetland gardens and habitat.""",
AI,Native Habitats,"Wet Meadow, Prairie, Field, Riparian, Swamp, Marsh. Most often found on the margins of flooded plains, lakes, ponds, waterways, marshes, swamps, and other wet areas.",
AI,Culture,"""Easily grown in medium to wet soils in full sun. Surprisingly tolerant of average well-drained soils in cultivation even though the species is native to swamps and wet meadows. Plants have deep taproots and are best left undisturbed once established. Foliage is slow to emerge in spring.""",Easily grown in medium to wet soils in full sun. Surprisingly tolerant of average well-drained soils in cultivation even though the species is native to swamps and wet meadows. Plants have deep taproots and are best left undisturbed once established. Foliage is slow to emerge in spring.
AI,Uses,"""Sunny borders, stream/pond banks, butterfly gardens. A good plant for low spots or other moist areas in the landscape.""","Sunny borders, stream/pond banks, butterfly gardens. A good plant for low spots or other moist areas in the landscape."
AI,UseXYZ,"Use Ornamental: Herbaceous perennial forming stately clump of upright stems with long narrow leaves and heads of fragrant soft mauve pink flowers, composed of many small intricate flowers. | Use Wildlife: Milkweeds are an important food source for the monarch caterpillar. | Use Food: Although milkweeds are poisonous raw, the young shoots, leaves and seed pods are all edible cooked. When placed in cold water, brought to a boil and simmered till tender, milkweeds are said to be delicately flavoured and harmless. (Poisonous Plants of N.C. State) The flower buds, nectar-sweet flowers and seeds are also edible. (Kershaw) | Use Medicinal: In the past, the roots of swamp milkweed were simmered to make a tea taken in small quantities both as a general purge and to destroy and expel parasitic worms.",
AI,Problems,"""No serious insect or disease problems.""",No serious insect or disease problems.
AS,Bloom Color,"White, Purple",White
AS,Bloom Time,"Jun, Jul, Aug",
AS,Sun,Full Sun,Full sun
AS,Water,"dry, medium",dry to medium
AS,Soil Description,"Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",
AS,Condition Comments,"""Not shade tolerant. Needs lots of sunlight.""",
AS,Native Habitats,"Old fields, roadsides, and waste places.",
AS,Culture,"""Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dryish soils. Easily grown from seed, and will self-seed in the landscape if seed pods are not removed prior to splitting open. Can spread somewhat rapidly by rhizomes. Often forms extensive colonies in the wild.""","Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dryish soils. Easily grown from seed, and will self-seed in the landscape if seed pods are not removed prior to splitting open. Can spread somewhat rapidly by rhizomes. Often forms extensive colonies in the wild."
AS,Uses,"""Butterfly gardens, meadows, prairies, or naturalized/native plant areas. This plant is considered by many gardeners to be too vigorous and weedy for borders.""","Butterfly gardens, meadows, prairies, or naturalized/native plant areas. This plant is considered by many gardeners to be too vigorous and weedy for borders."
AS,UseXYZ,"Use Food: According to the Field Guide to Medicinal Wild Plants or Edible Wild Plants, common milkweed is edible only under certain circumstances. Boiling can eliminate the bitter taste and toxicity of the sap, but this must be done very carefully to avoid the toxins. Eating milkweed is not recommended. | Use Other: Native Americans used this species as a source of fibers and during the Second World War children in the northern states were encouraged to collect the seed pods that were processed for the coma, or floss, which was used for flotation in life vests. Today the coma is harvested for use in pillows and comforters.",
AS,Problems,"""No serious insect or disease problems. Somewhat weedy and can spread.""",No serious insect or disease problems. Somewhat weedy and can spread.
AT2,Bloom Color,"Orange, Yellow",Orange
AT2,Bloom Time,"May, Jun, Jul, Aug, Sep","Sep, May"
AT2,Sun,Full Sun,Full sun
AT2,Water,"dry, medium",dry to medium
AT2,Soil Description,Prefers well-drained sandy soils. Tolerates drought.,
AT2,Condition Comments,"""Butterfly weed has an interesting and unusual flower structure. Plant it among other mid-sized perennials. Inevitably butterfly weed will get aphids; you can leave them for ladybugs to eat or spray the insects and foliage with soapy water. Aphids can also be removed by blasting the plant with a high pressure stream of water.""",
AT2,Native Habitats,"Grows in prairies, open woods, canyons, and hillsides throughout most of the state, common in eastern two thirds of Texas, uncommon in the Hill Country. Plant in well-drained sand, loam, clay, or limestone.",
AT2,Culture,"""Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dry soils. New growth tends to emerge late in the spring. Plants are easily grown from seed, but are somewhat slow to establish and may take 2-3 years to produce flowers. Mature plants may freely self-seed in the landscape if seed pods are not removed prior to splitting open. Butterfly weed does not transplant well due to its deep taproot, and is probably best left undisturbed once established.""","Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dry soils. New growth tends to emerge late in the spring. Plants are easily grown from seed, but are somewhat slow to establish and may take 2-3 years to produce flowers. Mature plants may freely self-seed in the landscape if seed pods are not removed prior to splitting open. Butterfly weed does not transplant well due to its deep taproot, and is probably best left undisturbed once established."
AT2,Uses,"""Butterfly gardens, rock gardens, meadows, prairies, or naturalized/native plant areas. Also effective in sunny borders or slopes. Whether massing plants in large drifts or sprinkling them throughout a prairie or meadow, butterfly weed is one of our showiest native wildflowers.""","Butterfly gardens, rock gardens, meadows, prairies, or naturalized/native plant areas. Also effective in sunny borders or slopes. Whether massing plants in large drifts or sprinkling them throughout a prairie or meadow, butterfly weed is one of our showiest native wildflowers."
AT2,UseXYZ,"Use Ornamental: Butterfly weed makes a delightful cut flower. Strong color, Blooms ornamental, Showy, Long-living, Perennial garden. | Use Medicinal: Its tough root was chewed by First Nations People as a cure for pleurisy and other pulmonary ailments explaining its other common name, pleurisy root. (Niering) Fresh root chewed for bronchitis and other respiratory complaints. Tea of root for diarrhea. | Use Other: This showy plant is frequently grown from seed in home gardens.",
AT2,Propagation:Maintenance,"Maintenance: Needs to be transplanted carefully and requires good drainage. It takes 2 â€“ 3 years before A. tuberosa produces its vibrant flowers, which appear in 2 â€“ 3 inch clusters of orangish-red. Once established, it lasts for years, becoming thicker each year.",
AT2,Problems,"""No serious insect or disease problems. Crown rot can be a problem in wet, poorly drained soils. Susceptible to rust and leaf spot.""","No serious insect or disease problems. Crown rot can be a problem in wet, poorly drained soils. Susceptible to rust and leaf spot."
BA,Bloom Color,"Blue, Purple",Purple Red
BA,Bloom Time,"Apr, May, Jun, Jul","May, Jul"
BA,Sun,"Full Sun, Part Shade",Full sun to part shade
BA,Water,"dry, medium",dry to medium
BA,AGCP Regional Status,,FACU
BA,Tolerates,"Drought, Clay Soil, Erosion, Dry Soil, Shallow-Rocky Soil","Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil"
BA,Soil Description,"Moist, well-drained, clays. Tolerates lime.",
BA,Native Habitats,Wood edges; limestone glades; prairies,
BA,Culture,"""Easily grown in average, dry to medium, well-drained soil in full sun to part shade. Best in full sun. Tolerates drought and poor soils. Over time, plants form slowly expanding clumps with deep and extensive root systems, and should not be disturbed once established. May be grown from seed, but takes several years to establish. Plants take on more of a shrubby appearance and tend to open up after bloom. Trimming or shearing foliage to shape after bloom helps maintain rounded plant appearance, but eliminates the developing seed pods which are so attractive.""","Easily grown in average, dry to medium, well-drained soil in full sun to part shade. Best in full sun. Tolerates drought and poor soils. Over time, plants form slowly expanding clumps with deep and extensive root systems, and should not be disturbed once established. May be grown from seed, but takes several years to establish. Plants take on more of a shrubby appearance and tend to open up after bloom. Trimming or shearing foliage to shape after bloom helps maintain rounded plant appearance, but eliminates the developing seed pods which are so attractive."
BA,Uses,"""Borders, cottage gardens, rock gardens, prairies, meadows and native plant gardens. Effective in naturalized settings. Best as specimen or in small groups.""","Borders, cottage gardens, rock gardens, prairies, meadows and native plant gardens. Effective in naturalized settings. Best as specimen or in small groups."
BA,UseXYZ,Use Medicinal: Amerindians used root tea as emetic and purgative; cold tea given to stop vomiting. Root poulticed as an anti-inflammatory. Held in mouth to treat toothaches. Toxic. | Use Other: Plant juice turns purple on exposure and is a fair substitute for true indigo in making blue dye.,
BA,Problems,"""No serious insect or disease problems. Sensitive to juglone. Tends to perform poorly when planted close to black walnut trees.""",No serious insect or disease problems. Sensitive to juglone. Tends to perform poorly when planted close to black walnut trees.
CP,Bloom Time,"Apr, May","May, Jun"
CP,Sun,"Full Sun, Part Shade",Full sun to part shade
CP,Tolerates,"Deer, Wet Soil, Wet Site Tolerant","Deer, Wet Soil"
CP,Soil Description,"Muddy, humus-rich soil.",
CP,Condition Comments,"""Marsh marigold requires little care other than protection from drying, winter and early spring winds.""",
CP,Native Habitats,"Wet woods, marshy hollows, stream edges",
CP,Culture,"""Grow in full sun to part shade in shallow water at the margins of a pond or water garden or in wet, boggy soils. Best flowering usually occurs in full sun, but plants appreciate some part shade in the heat of the summer. If sited in full sun in hot summer climates such as the St. Louis area, plants may go dormant in summer. May be grown from seed.""","Grow in full sun to part shade in shallow water at the margins of a pond or water garden or in wet, boggy soils. Best flowering usually occurs in full sun, but plants appreciate some part shade in the heat of the summer. If sited in full sun in hot summer climates such as the St. Louis area, plants may go dormant in summer. May be grown from seed."
CP,Uses,"""No serious insect or disease problems. Susceptible to powdery mildew and rust.""",Water or bog gardens. Pond edges.
CP,UseXYZ,"Use Food: EDIBLE PARTS: Cooked, early spring greens are edible. Cover the young leaves with 2-3 changes of boiling water until barely tender; cut into bite-sized pieces, salt lightly, and cover with butter and some vinegar. Tightly closed buds can be pickled after covering with boiling water as described for leaves. Do not boil. The leaves are sometimes used as potherbs but require several short boilings with changes of water between. (Niering)",
CP,Problems,"""No serious insect or disease problems. Susceptible to powdery mildew and rust.""",No serious insect or disease problems. Susceptible to powdery mildew and rust.
CG,Bloom Color,"White, Pink",White
CG,Bloom Time,"Jul, Aug, Sep",
CG,Sun,Part Shade,Part shade
CG,Water,"medium, wet",medium to wet
CG,Tolerates,"Wet Soil, Erosion","Erosion, Wet Soil"
CG,Soil Description,"Light, rich, wet to moist soils.",
CG,Native Habitats,Brushy marshes; stream banks; wet ditches; low meadows; woodlands,
CG,Culture,"""Best grown in moist to wet, rich, humusy soils in part shade. Appreciates a good composted leaf mulch, particularly in sunny areas. Consider pinching back the stem ends in spring to reduce mature plant height, especially if growing plants in strongly shaded areas where they are more likely to need some support. In optimum environments, however, staking is usually not required. Slowly spreads by rhizomes.""","Best grown in moist to wet, rich, humusy soils in part shade. Appreciates a good composted leaf mulch, particularly in sunny areas. Consider pinching back the stem ends in spring to reduce mature plant height, especially if growing plants in strongly shaded areas where they are more likely to need some support. In optimum environments, however, staking is usually not required. Slowly spreads by rhizomes."
CG,Uses,"""Shade or woodland gardens. Bog gardens. Pond or water garden peripheries. Wildflower or native plant gardens. Borders as long as the soil moisture requirements can be met.""",Shade or woodland gardens. Bog gardens. Pond or water garden peripheries. Wildflower or native plant gardens. Borders as long as the soil moisture requirements can be met.
CG,Problems,"""No serious insect or disease problems. Some susceptibility to mildew, particularly if soils are kept on the dry side and/or air circulation is poor. If grown in too much shade, plants may need some support.""","No serious insect or disease problems. Some susceptibility to mildew, particularly if soils are kept on the dry side and/or air circulation is poor. If grown in too much shade, plants may need some support."
CL,<ROW>,<missing in gold CSV>,
