Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
30,"Herbaceous, Perennial",MD,Monarda didyma,"Scarlet beebalm, Oswego tea",3 - 5,2 - 3,,,,,,,,,,
31,"Herbaceous, Perennial",MF,Monarda fistulosa,"Wild bergamot, Bee-balm",2 - 3,,,,,,,,,,,
32,"Herbaceous, Perennial",PD,Penstemon digitalis,Foxglove Beardtongue,3 - 5,,,,,,,,,,,
33,"Herbaceous, Perennial",PD1,Phlox divaricta,Woodland phlox,,,,,,,,,,,,
34,"Herbaceous, Perennial",PP,Phlox paniculata,Garden Phlox,3 - 6,2 - 3,,,,,,,,,,
35,"Herbaceous, Perennial",PS,Phlox stolonifera,Creeping phlox,,2,,,,,,,,,,
36,"Herbaceous, Perennial",PV,Physostegia virginiana,"Obedient Plant, False Dragonhead",1 - 4,2 - 3,,,,,,,,,,
37,"Herbaceous, Perennial",PV1,Pycnanthemum virginianum,"Mountain Mint, Virginia Mountain-mint",2 - 3,1 - 1.5,,,,,,,,,,
38,"Herbaceous, Perennial",RF,Rudbeckia fulgida,Orange coneflower,2 - 3,1 - 2,,,,,,,,,,
39,"Herbaceous, Perennial",RH,Rudbeckia hirta,Black-Eyed Susan,2 - 3,1 - 2,,,,,,,,,,
40,"Herbaceous, Perennial",RL,Rudbeckia laciniata,Cutleaf Coneflower,4 - 6,,,,,,,,,,,
41,"Herbaceous, Perennial",SP,Siphium perfoliatum,Cup-Plant,,,,,,,,,,,,
42,"Herbaceous, Perennial",SR,Smilacina raceoscum,"False Solomon’s Seal, Solomon’s Plume",1 - 2,1 - 3,,,,,,,,,,
43,"Herbaceous, Perennial",SN,Solidago nemoralis,Gray Goldenrod,1 - 2,,,,,,,,,,,
44,"Herbaceous, Perennial",SS,Solidago sempervirens,Goldenrod,1 - 8,,,,,,,,,,,
45,"Herbaceous, Perennial",SL,Stokesia laevis,Stokes’ aster,1 - 3,1 - 3,,,,,,,,,,
46,"Herbaceous, Perennial",SL1,Symphyotrichum laeve,Smooth Aster,,,,,,,,,,,,
47,"Herbaceous, Perennial",SN,Symphyotrichum novae-angliae,New England Aster,,,,,,,,,,,,
48,"Herbaceous, Perennial",SNy,Symphyotrichum novi-belgii,New York Aster,,,,,,,,,,,,
49,"Herbaceous, Perennial",TC,Tiarella cordifolia,Foam Flower,,,,,,,,,,,,
50,"Herbaceous, Perennial",VH,Verbena hastata,Blue Vervain,,,,,,,,,,,,
51,"Herbaceous, Perennial",VN,Vernonia noveboracensis,New York Ironweed,3 - 6,3 - 4,,,,,,,,,,
52,"Herbaceous, Perennial",VV,Veronicastrum virginicum,Culver’s Root,3 - 6,,,,,,,,,,,
54,Ferns,AF,Athyrium filix-femina,Lady Fern,,,,,,,,,,,,
55,Ferns,DM,Dryopteris marginalis,Marginal woodland fern,1 - 2,1 - 3,,,,,,,,,,
56,Ferns,MS,Matteuccia struthiopteris,Ostrich Fern,3 - 4,2 - 3,,,,,,,,,,
57,Ferns,OS,Onoclea Sensibilis,Sensitive Fern,,,,,,,,,,,,
58,Ferns,OC,Osmunda cinnamomea,Cinnamon fern,,2 - 3,,,,,,,,,,
59,Ferns,OR,Osmunda regalis,Royal Fern,,2 - 3,,,,,,,,,,
60,Ferns,PA,Polystichum acrostichoides,Christmas Fern,1 - 2,1 - 2,,,,,,,,,,
62,"Grasses, Sedges, and Rushes",AG,Andropogon gerardii,Big Bluestem,4 - 8,,,,,,,,,,,
63,"Grasses, Sedges, and Rushes",CA,Carex amphibola,Creek sedge,8 - 12,8 - 12,,,,,,,,,,
64,"Grasses, Sedges, and Rushes",CC,Carex crinita,Fringed Sedge,1 - 3,1 - 2,,,,,,,,,,
65,"Grasses, Sedges, and Rushes",CG1,Carex grayi,Gray Sedge,,,,,,,,,,,,
66,"Grasses, Sedges, and Rushes",CL1,Carex laxiculmis,Creeping Sedge,,,,,,,,,,,,
67,"Grasses, Sedges, and Rushes",CP1,Carex pensylvanica,Pennsylvania sedge or Oak sedge,,,,,,,,,,,,
68,"Grasses, Sedges, and Rushes",CP2,Carex plantaginea,Seersucker Sedge,,,,,,,,,,,,
69,"Grasses, Sedges, and Rushes",CS,Carex stipata,Awl-fruited sedge,1 - 3,,,,,,,,,,,
70,"Grasses, Sedges, and Rushes",CS1,Carex stricta,Tussock Sedge,2 - 5,2 - 3,,,,,,,,,,
71,"Grasses, Sedges, and Rushes",CV,Carex vulpinoidea,Fox sedge,,,,,,,,,,,,
72,"Grasses, Sedges, and Rushes",CL2,Chasmanthium latifolium,Northern sea oats,3 - 5,2 - 3,,,,,,,,,,
73,"Grasses, Sedges, and Rushes",DC,Deshampsia cespitosa,Tufted hairgrass,2 - 4,1 - 2,,,,,,,,,,
74,"Grasses, Sedges, and Rushes",EV,Elymus virginicus,Virginia wild rye,3 - 5,,,,,,,,,,,
75,"Grasses, Sedges, and Rushes",ES,Eragrostis spectabilis,Purple lovegrass,1 - 2,2 - 3,,,,,,,,,,
76,"Grasses, Sedges, and Rushes",JE,Juncus effusus,Soft rush,,,,,,,,,,,,
77,"Grasses, Sedges, and Rushes",PV2,Panicum virgatum,Switchgrass,,,,,,,,,,,,
78,"Grasses, Sedges, and Rushes",SS1,Schizachyrium scoparium,Little Bluestem,,,,,,,,,,,,
79,"Grasses, Sedges, and Rushes",SN1,Sorghastrum nutans,Indiangrass,3 - 5,,,,,,,,,,,
80,"Grasses, Sedges, and Rushes",SH,Sporobolus heterolepis,Prairie Dropseed,,,,,,,,,,,,
82,Shrubs,AP,Andromeda polifolia,Bog Rosemary,1 - 2,2 - 6,,,,,,,,,,
83,Shrubs,AA,Aronia arbutifolia,Red chokeberry,6 - 12,3 - 6,,,,,,,,,,
84,Shrubs,AM,Aronia melanocarpa,Black chokeberry,3 - 6,3 - 6,,,,,,,,,,
85,Shrubs,CO,Cephalanthus occidentalis,Buttonbush,6 - 12,12 - 20,,,,,,,,,,
86,Shrubs,CA1,Clethra alnifolia,Sweet Pepperbush/ Summersweet,6 - 12,3 - 6,,,,,,,,,,
87,Shrubs,CA2,Cornus amomum,Silky Dogwood,6 - 12,6 - 12,,,,,,,,,,
88,Shrubs,CR,Cornus racemosa,Graystem dogwood,6 - 12,6 - 12,,,,,,,,,,
89,Shrubs,CS2,Cornus sericea,Red-osier Dogwood aka Red-twig Dogwood,6 - 12,6 - 12,,,,,,,,,,
90,Shrubs,HV,Hamamelis Virginiana ,Witchhazel ,20 - 30,,,,,,,,,,,
91,Shrubs,HQ,Hydrangea quercifolia,Oakleaf Hydrangea,6 - 8,,,,,,,,,,,
92,Shrubs,IG,Ilex glabra,Inkberry,6 - 8,6 - 12,,,,,,,,,,
93,Shrubs,IV1,Ilex verticillata,Common winterberry,6 - 12,6 - 12,,,,,,,,,,
94,Shrubs,IV2,Itea virginica,Virginia Sweetspire,6 - 12,6 - 12,,,,,,,,,,
95,Shrubs,KL,Kalmia latifolia,Mountain laurel,6 - 20,5 - 12,,,,,,,,,,
96,Shrubs,LR,Leucothoe racemosa,Fetterbush,,,,,,,,,,,,
97,Shrubs,LB,Lindera benzoin,Spicebush,6 - 12,6 - 12,,,,,,,,,,
98,Shrubs,MP,Myrica pensylvanica,Northern Bayberry,6 - 12,6 - 12,,,,,,,,,,
99,Shrubs,RV,Rhododendron viscosum,Swamp azalea,6 - 12,6 - 12,,,,,,,,,,
100,Shrubs,RA,Rhus aromatica,Fragrant Sumac,,,,,,,,,,,,
101,Shrubs,RC,Rosa carolina,Carolina Rose,,,,,,,,,,,,
102,Shrubs,SC,Sambucus canadensis,Elderberry or American elder,6 - 12,6 - 12,,,,,,,,,,
103,Shrubs,SL2,Spiraea latifolia,Meadowsweet,3 - 6,,,,,,,,,,,
104,Shrubs,ST,Spiraea tomentosa,Steeplebush,2 - 4,3 - 5,,,,,,,,,,
105,Shrubs,VC,Vaccinium corymbosum,Highbush Blueberry,6 - 10,1.5 - 3,,,,,,,,,,
106,Shrubs,VA,Viburnum acerifolium,Mapleleaf Viburnum,,,,,,,,,,,,
107,Shrubs,VD,Viburnum dentatum,Arrowwood Viburnum,3 - 10,,,,,,,,,,,
108,Shrubs,VL,Viburnum lentago,Nannyberry,20 - 35,10 - 35,,,,,,,,,,
109,Shrubs,VN1,Viburnum nudum,Possumhaw Virburnum,,,,,,,,,,,,
110,Shrubs,VT,Viburnum trilobum,Cranberry viburnum,,,,,,,,,,,,
112,Trees,AC1,Amelanchier canadensis,Serviceberry,35 - 50,35 - 50,,,,,,,,,,
113,Trees,AT3,Asimina triloba,Common Pawpaw,,40,,,,,,,,,,
114,Trees,BN,Betula nigra,River birch,50 - 75,35 - 50,,,,,,,,,,
115,Trees,CC1,Cercis canadensis,Eastern redbud,,,,,,,,,,,,
116,Trees,CF,Cornus florida,Flowering dogwood,,,,,,,,,,,,
117,Trees,MV,Magnolia virginiana,Sweetbay magnolia,12 - 20,12 - 20,,,,,,,,,,
