Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
35,Herbaceous Perennials,PSt,Phlox stolonifera,Creeping phlox,,2,pink/violet//milky white,April - June,,,fragrant,,,USDA hardiness zones 5-8,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285438,https://www.wildflower.org/plants/result.php?id_plant=PHST3
36,Herbaceous Perennials,PVi,Physostegia virginiana,Obedient Plant/False Dragonhead,1 - 4,2 - 3,Pink/pale purple/white,June - August,,,,,Attracts hummingbirds,"Maine and Quebec to Manitoba and North Dakota, south to Florida and",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g620,https://www.wildflower.org/plants/result.php?id_plant=phvi8
37,Herbaceous Perennials,PVi1,Pycnanthemum virginianum,Mountain Mint/Virginia Mountain-mint,2 - 3,1 - 1.5,,July - September,,,,,,"Maine to North Dakota, south to Georgia and Oklahoma, north to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281418&isprofile=1&basic=Pycnanthemum+virginianum,https://www.wildflower.org/plants/result.php?id_plant=PRVI
38,Herbaceous Perennials,RFu,Rudbeckia fulgida,Orange coneflower,2 - 3,1 - 2,yellow orange,July - September,,,deer resistant; self seeds,,,USDA hardiness zones 3-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g630,https://www.wildflower.org/plants/result.php?id_plant=rufu2
39,Herbaceous Perennials,RHi,Rudbeckia hirta,Black-Eyed Susan,2 - 3,1 - 2,Golden-yellow to orange rays/dark brown centers,June - October,,,,,,"Newfoundland to Florida, west to British Columbia and Mexico",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277225,https://www.wildflower.org/plants/result.php?id_plant=ruhi2
40,Herbaceous Perennials,RLa,Rudbeckia laciniata,Cutleaf Coneflower,4 - 6,,Yellow,July - October,,,Drought tolerant,,,Lower 48 United States (L48) and Canada,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277226,https://www.wildflower.org/plants/result.php?id_plant=rula3
41,Herbaceous Perennials,SPe,Siphium perfoliatum,Cup-Plant,,,,July - September,,,prefers full sun,,,USDA hardiness zones 4-8,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277471,https://www.wildflower.org/plants/result.php?id_plant=SIPE2
42,Herbaceous Perennials,SRa,Smilacina raceoscum,False Solomon’s Seal or Solomon’s Plume,1 - 2,1 - 3,,,,,,"found in moist, rich woodlands and woodland edgesb",,Throughout the United States and Canada,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m390,https://www.wildflower.org/plants/result.php?id_plant=mara7
43,Herbaceous Perennials,SNe,Solidago nemoralis,Gray Goldenrod,1 - 2,,Yellow,August - September,,,,,,Wyoming to New Jersey a,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277240&isprofile=0&pt=8,https://www.wildflower.org/plants/result.php?id_plant=sogi
44,Herbaceous Perennials,SSe,Solidago sempervirens,Goldenrod,1 - 8,,Yellow,August - November,,,,,,Northeast west to Texas and Michigan,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=269348,https://www.wildflower.org/plants/result.php?id_plant=sose
45,Herbaceous Perennials,SLa,Stokesia laevis,Stokes’ aster,1 - 3,1 - 3,white/blue//purple,July - September,,,deer resistant; self seeds,,,USDA hardiness zones 5-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i900,https://www.wildflower.org/plants/result.php?id_plant=stla6
46,Herbaceous Perennials,SLa1,Symphyotrichum laeve,Smooth Aster,,,,September - November,,,prefers full sun; drought tolerant,,,USDA hardiness zones 3-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g420,https://www.wildflower.org/plants/result.php?id_plant=sylal3
47,Herbaceous Perennials,SNo,Symphyotrichum novae-angliae,New England Aster,1 - 6,,reddish purple,August - October,,,,,,"southwestern Quebec to southern Alberta, south to central Maine, Delaware,",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b540,https://www.wildflower.org/plants/result.php?id_plant=syno2
48,Herbaceous Perennials,SNo1,Symphyotrichum novi-belgii,New York Aster,1 - 3,,purple,August - October,,,,,,Maine to southern Maryland and Washington D.C.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=271331,https://www.wildflower.org/plants/result.php?id_plant=SYNOV
49,Herbaceous Perennials,TCo,Tiarella cordifolia,Foam Flower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f990,https://www.wildflower.org/plants/result.php?id_plant=TICO
50,Herbaceous Perennials,VHa,Verbena hastata,Blue Vervain,,,purple/blue/lavender,June - September,,,prefers full sun or partial shade,,,USDA hardiness zones 3-8c,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z370,https://www.wildflower.org/plants/result.php?id_plant=veha2
51,Herbaceous Perennials,VNo,Vernonia noveboracensis,New York Ironweed,3 - 6,3 - 4,Purple,August - September,,,,,Attracts butterflies,From Massachusetts to West Virginia and Ohio south to Mississippi and east,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277487,https://www.wildflower.org/plants/result.php?id_plant=vefa2
52,Herbaceous Perennials,VVi,Veronicastrum virginicum,Culver’s Root,3 - 6,,White to pale blue,May - August,,,,,Attracts butterflies,"Vermont to Ontario and Manitoba, south to Georgia and Louisiana",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g180,https://www.wildflower.org/plants/result.php?id_plant=vevi4
54,Ferns,AFi,Athyrium filix-femina,Lady Fern,,,,,,,,,,,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b630,https://www.wildflower.org/plants/result.php?id_plant=ATFI
55,Ferns,DMa,Dryopteris marginalis,Marginal woodland fern,1 - 2,1 - 3,,,,,deer resistant; drought tolerantb,"Found in rocky woods, rich woodlands, woodland edges, ravines, or bluffs",,Newfoundland to Georgia and west to Minnesota and Oklahomac,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285665,https://www.wildflower.org/plants/result.php?id_plant=DRMA4
56,Ferns,MSt,Matteuccia struthiopteris,Ostrich Fern,3 - 4,2 - 3,,,,,,,,"Northcentral and Northeast U.S., and Canada.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e180,https://www.wildflower.org/plants/result.php?id_plant=MAST
58,Ferns,OCi,Osmunda cinnamomea,Cinnamon fern,,2 - 3,,,,,,,,"Newfoundland to Minnesota, south to Florida, Texas, and New Mexico",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i570,https://www.wildflower.org/plants/result.php?id_plant=OSCI
59,Ferns,ORe,Osmunda regalis,Royal Fern,,2 - 3,,,,,,,,"Northern and Eastern Canada; Northeastern, Northcentral, Southeastern, and",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285736,https://www.wildflower.org/plants/result.php?id_plant=osre
60,Ferns,PAc,Polystichum acrostichoides,Christmas Fern,1 - 2,,,,,,,,,"Nova Scotia to Wisconsin, south to Florida, Texas, and Mexico",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a710,https://www.wildflower.org/plants/result.php?id_plant=poac4
62,"Grasses, Sedges, and Rushes",AGe,Andropogon gerardii,Big Bluestem,4 - 8,,Yellow,August - November,,,,,,"Quebec to Saskatchewan, south to Florida and Arizona",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g720,https://www.wildflower.org/plants/result.php?id_plant=ange
63,"Grasses, Sedges, and Rushes",CAm,Carex amphibola,Creek sedge,8 - 12,8 - 12,,March - June,,,erosion stabilizer,,,USDA hardiness zones 3-9,Not Found,https://www.wildflower.org/plants/result.php?id_plant=capl18
64,"Grasses, Sedges, and Rushes",CCr,Carex crinita,Fringed Sedge,1 - 3,1 - 2,n/a,May - June,,,,,,"Nova Scotia to Wisconsin, south to North Carolina and Texas.d",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279732,https://www.wildflower.org/plants/result.php?id_plant=cacr6
65,"Grasses, Sedges, and Rushes",CGr,Carex grayi,Gray Sedge,,,,May - June,,,prefers full sun to partial shade; deer resistant,,,USDA hardiness zones 5-9,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279804,https://www.wildflower.org/plants/result.php?id_plant=CALA12
66,"Grasses, Sedges, and Rushes",CLa1,Carex laxiculmis,Creeping Sedge,,,,April - July,,,groundcover; prefers full shade/partial shade; deer,,,USDA hardiness zones 4-7,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279805,https://www.wildflower.org/plants/result.php?id_plant=CALAL4
67,"Grasses, Sedges, and Rushes",CPe,Carex pensylvanica,Pennsylvania sedge or Oak sedge,,,,,,,Deer,"Upland woods, open wooded bluffs and slopes, clearings in woods, pine barrens, oak",,In the United States plants occur from Maine to North Carolina and west from,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=cape6
68,"Grasses, Sedges, and Rushes",CPl,Carex plantaginea,Seersucker Sedge,,,,May - July,,,groundcover; prefers partial shade to full shade; deer,,,USDA hardiness zones 4-8; from Canada to Alabama,Not Found,https://www.wildflower.org/plants/result.php?id_plant=CATR6
69,"Grasses, Sedges, and Rushes",CSt,Carex stipata,Awl-fruited sedge,1 - 3,,,,,,,,,"lower 48 states, Alaska, and Canadac",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=cast5
70,"Grasses, Sedges, and Rushes",CSt1,Carex stricta,Tussock Sedge,2 - 5,2 - 3,n/a,May - June,,,,,,"Arizona to West Virginia, south to North Carolina and Kansas.c",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=CAST8
71,"Grasses, Sedges, and Rushes",CVu,Carex vulpinoidea,Fox sedge,,,,June - August,,,,,,"Newfoundland to southern British Columbia, Washington, Oregon, south to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g760,https://www.wildflower.org/plants/result.php?id_plant=cavu2
72,"Grasses, Sedges, and Rushes",CLa2,Chasmanthium latifolium,Northern sea oats,3 - 5,2 - 3,,,,,drought tolerant; salt tolerance,Occurs in rich woods or rocky slopes along streams and on moist bluffs,,"Pennsylvania south through Florida, in the upper mid-west to Wisconsin and",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a240,
73,"Grasses, Sedges, and Rushes",DCe,Deshampsia cespitosa,Tufted hairgrass,2 - 4,1 - 2,,,,,salt tolerant,"Coastal terraces, upper tidal marshes, seasonally wet prairies, moist subalpine",,"As one of the most widely distributed grasses on earth, tufted hairgrass is found",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285197,https://www.wildflower.org/plants/result.php?id_plant=pedi
74,"Grasses, Sedges, and Rushes",EVi,Elymus virginicus,Virginia wild rye,3 - 5,,,August,,,shade tolerant,,,USDA hardiness zones 2-9,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285239,https://www.wildflower.org/plants/result.php?id_plant=ELVIV
75,"Grasses, Sedges, and Rushes",ESp,Eragrostis spectabilis,Purple lovegrass,1 - 2,2 - 3,Purple,July - August,,,deer resistant; drought tolerant; prefers sun to part shade,"Commonly in sandy, rocky, or open ground in dry prairies, upland savannas,",Attracts butterflies and other pollinators,"Maine to South Dakota south to Florida, Texas, Arizona and Mexico",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d593,https://www.wildflower.org/plants/result.php?id_plant=ersp
76,"Grasses, Sedges, and Rushes",JEf,Juncus effusus,Soft rush,,,,July - September,,,,,,Throughout the United States,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c262,https://www.wildflower.org/plants/result.php?id_plant=JUEF
77,"Grasses, Sedges, and Rushes",PVi2,Panicum virgatum,Switchgrass,,,,August - November,,,,,,"Quebec to Saskatchewan, south to Florida, Texas, and Arizona",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l460,https://www.wildflower.org/plants/result.php?id_plant=pavi2
78,"Grasses, Sedges, and Rushes",SSc,Schizachyrium scoparium,Little Bluestem,,,yellow,August - October,,,,,,USDA hardiness zones 3-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f510,https://www.wildflower.org/plants/result.php?id_plant=SCSC
79,"Grasses, Sedges, and Rushes",SNu,Sorghastrum nutans,Indiangrass,3 - 5,,Golden brown,June - September,,,,,,Northeast west to Texas and North Dakota,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g780,https://www.wildflower.org/plants/result.php?id_plant=sonu2
80,"Grasses, Sedges, and Rushes",SHe,Sporobolus heterolepis,Prairie Dropseed,,,,July - October,,,fragrant flowers; prefers full sun; salt tolerant; deer,,,USDA hardiness zones 3-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f680,https://www.wildflower.org/plants/result.php?id_plant=ecpu
82,Shrubs,APo,Andromeda polifolia,Bog Rosemary,1 - 2,2 - 6,White,May - July,,,,,,"Maine to the Southern New Jersey, From New Jersey westward to Minnesota, it",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx,https://www.wildflower.org/plants/result.php?id_plant=anpo
83,Shrubs,AAr,Aronia arbutifolia,Red chokeberry,6 - 12,3 - 6,White,May,,,,,,"Nova Scotia to Michigan south to New England, Florida, and Texas",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286551,https://www.wildflower.org/plants/result.php?id_plant=ARAR7
84,Shrubs,AMe,Aronia melanocarpa,Black chokeberry,3 - 6,3 - 6,White,May,,,,,,"Newfoundland to northwestern Ontario and Minnesota, south to Nova Scotia,",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j420,https://www.wildflower.org/plants/result.php?id_plant=ARME6
85,Shrubs,COc,Cephalanthus occidentalis,Buttonbush,6 - 12,12 - 20,,July - August,,,,,,"New Brunswick and Quebec to Minnesota, south through New England to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g830,https://www.wildflower.org/plants/result.php?id_plant=ceoc2
86,Shrubs,CAl,Clethra alnifolia,Sweet Pepperbush/ Summersweet,6 - 12,3 - 6,White,July - August,,,,,,"Southern Maine, south to Florida and eastern Texas",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c230,https://www.wildflower.org/plants/result.php?id_plant=clal3
87,Shrubs,CAm1,Cornus amomum,Silky Dogwood,6 - 12,6 - 12,Yellowish white,May - July,,,,,,"Quebec to Ontario and southern Illinois, south to South Carolina and Alabama",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g800,https://www.wildflower.org/plants/result.php?id_plant=COOB9
88,Shrubs,CRa,Cornus racemosa,Graystem dogwood,6 - 12,6 - 12,White,May - June,,,,"Forested wetlands, shrub wetlands, and stream borders",,"Central Maine to southern Ontario and Minnesota, south to New England,",http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279351,https://www.wildflower.org/plants/result.php?id_plant=cora6
89,Shrubs,CSe,Cornus sericea,Red-osier Dogwood aka Red-twig Dogwood,6 - 12,6 - 12,White,May - June,,,,,,"Newfoundland, and southern Labrador to Yukon Territory, south to Nova Scotia,",http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279363,https://www.wildflower.org/plants/result.php?id_plant=COSEO
91,Shrubs,HQu,Hydrangea quercifolia,Oakleaf Hydrangea,6 - 8,,White//as they age they turn pinkish,May - August,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d380,https://www.wildflower.org/plants/result.php?id_plant=HYQU3
92,Shrubs,IGl,Ilex glabra,Inkberry,6 - 8,6 - 12,Greenish to white,May - June,,,,"Forested seasonal wetlands, shrub swamp and sandy woods",,Nova Scotia to Florida and Louisiana along coastal plain,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d553,https://www.wildflower.org/plants/result.php?id_plant=ilgl
93,Shrubs,IVe1,Ilex verticillata,Common winterberry,6 - 12,6 - 12,Greenish to white,June,,,,,,"Newfoundland to Minnesota, south to Georgia and Mississippi",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d440,https://www.wildflower.org/plants/result.php?id_plant=Ilve
