Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Echinacea purpurea,2-4,1.5-2,Purple,Jun–Aug,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Purple Coneflower,,Nectar for butterflies & bees; seeds for finches,OH to IA south to LA & GA,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu,Herbaceous Perennials
Eupatorium coelestinum,1 to 2,,Purple,July to November,"Sun, part shade",,Facultative,HERBACEOUS PERENNIALS,,,Blue mistflower,Naturalized prairie or meadow plantings and along roadsides.c,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Eupatorium+coelestinum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Eupatorium%20coelestinum),Herbaceous Perennials
Eupatorium dubium,3 to 4,Spread,"light pink, or lavender",August through September,,,facultative,HERBACEOUS PERENNIALS,,,Little Joe Pye weed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Eupatorium+dubium),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Eupatorium%20dubium),Herbaceous Perennials
Eupatorium maculatum,4 to 6,Spread,pink,July through September,,,facultative wetland,HERBACEOUS PERENNIALS,,,Spotted Joe Pye weed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Eupatorium+maculatum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Eupatorium%20maculatum),Herbaceous Perennials
Eupatorium perfoliatum,3-4,2-3,white,August through September,"Full sun, Part shade",Medium-Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Common boneset,,Nectar for bees & butterflies; host for moth larvae,Eastern & Central US,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3,Herbaceous Perennials
Eupatorium purpureum,3-7,Spread,Flower Color,Flowering Period,,,Facultative,HERBACEOUS PERENNIALS,,,Joe Pye Weed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Eupatorium+purpureum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Eupatorium%20purpureum),Herbaceous Perennials
Eurybia divaricata,2 to 3,Spread,white,September through November,,,no wetland indicator,HERBACEOUS PERENNIALS,,,White wood aster,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Eurybia+divaricata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Eurybia%20divaricata),Herbaceous Perennials
Helenium autumnale,2-5,Spread,Flower Color,Flowering Period,,,Facultative Wetland,HERBACEOUS PERENNIALS,,,Common Sneezeweed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Helenium+autumnale),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Helenium%20autumnale),Herbaceous Perennials
Hibiscus moscheutos,3 to 7,Spread,"pink, red, or white",July through September,,,obligate,HERBACEOUS PERENNIALS,,,Hibiscus or Swamp rosemallow,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Hibiscus+moscheutos),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Hibiscus%20moscheutos),Herbaceous Perennials
Iris versicolor,2 to 3,,Blue or violet,May,,,Obligate wetland,HERBACEOUS PERENNIALS,,,"Blue flag, Blue water iris","Swamps, Marshes, and Wet Shores",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Iris+versicolor),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Iris%20versicolor),Herbaceous Perennials
Liatris spicata,3 to 4,,purple,June through August,,low,facultative,HERBACEOUS PERENNIALS,,,Dense blazing star,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Liatris+spicata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Liatris%20spicata),Herbaceous Perennials
Lilium superbum,,,Flower Color,Flowering Period,,,Facultative wetland +,HERBACEOUS PERENNIALS,,,Turk's Cap Lily,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Lilium+superbum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Lilium%20superbum),Herbaceous Perennials
Lobelia cardinalis,2 to 4,,Scarlet,June through September,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Cardinal flower,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Lobelia+cardinalis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Lobelia%20cardinalis),Herbaceous Perennials
Lobelia siphilitica,1 to 5,,Blue,July through October,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Blue Lobelia,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Lobelia+siphilitica),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Lobelia%20siphilitica),Herbaceous Perennials
Mimulus ringens,,,Flower Color,Flowering Period,,,Obligate,HERBACEOUS PERENNIALS,,,Monkey Flower,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Mimulus+ringens),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Mimulus%20ringens),Herbaceous Perennials
Monarda didyma,3 to 5,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Scarlet beebalm/Oswego tea,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Monarda+didyma),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Monarda%20didyma),Herbaceous Perennials
Monarda fistulosa,2-3,,Flower Color,Flowering Period,,,Upland,HERBACEOUS PERENNIALS,,,Wild bergamot / Bee-balm,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Monarda+fistulosa),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Monarda%20fistulosa),Herbaceous Perennials
Penstemon digitalis,3 to 5,,white or light pink,May through July,,high,facultative,HERBACEOUS PERENNIALS,,,Foxglove Beardtongue,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Penstemon+digitalis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Penstemon%20digitalis),Herbaceous Perennials
Phlox divaricta,,,violet blue,April through May,,,facultative upland,HERBACEOUS PERENNIALS,,,Woodland phlox,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Phlox+divaricta),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Phlox%20divaricta),Herbaceous Perennials
Phlox paniculata,3-6,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Garden Phlox,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Phlox+paniculata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Phlox%20paniculata),Herbaceous Perennials
Phlox stolonifera,,Spread,"pink, violet, or milky white",April through June,,high,facultative upland,HERBACEOUS PERENNIALS,,,Creeping phlox,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Phlox+stolonifera),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Phlox%20stolonifera),Herbaceous Perennials
Physostegia virginiana,1-4,Spread,Flower Color,Flowering Period,,,"Facultative +, Obligate Wetland",HERBACEOUS PERENNIALS,,,Obedient Plant/False Dragonhead,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Physostegia+virginiana),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Physostegia%20virginiana),Herbaceous Perennials
Pycnanthemum virginianum,2-3,,,Flowering Period,,,"Facultative, Facultative Wetland +",HERBACEOUS PERENNIALS,,,Mountain Mint/Virginia Mountain-mint,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Pycnanthemum+virginianum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Pycnanthemum%20virginianum),Herbaceous Perennials
Rudbeckia fulgida,2 to 3,Spread,yellow orange,July through September,,,facultative upland,HERBACEOUS PERENNIALS,,,Orange coneflower,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rudbeckia+fulgida),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rudbeckia%20fulgida),Herbaceous Perennials
Rudbeckia hirta,2-3,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Black-Eyed Susan,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rudbeckia+hirta),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rudbeckia%20hirta),Herbaceous Perennials
Rudbeckia laciniata,4 to 6,,Flower Color,Flowering Period,,,Facultative wetlandc,HERBACEOUS PERENNIALS,,,Cutleaf Coneflower,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rudbeckia+laciniata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rudbeckia%20laciniata),Herbaceous Perennials
Siphium perfoliatum,,,yellow,July through September,,,facultative wetlandc,HERBACEOUS PERENNIALS,,,Cup-Plant,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Siphium+perfoliatum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Siphium%20perfoliatum),Herbaceous Perennials
Smilacina raceoscum,1 to 2,Spread,White,,"Sun, part shade, or shade",,Facultative upland,HERBACEOUS PERENNIALS,,,False Solomon’s Seal or Solomon’s Plume,"found in moist, rich woodlands and woodland edgesb",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Smilacina+raceoscum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Smilacina%20raceoscum),Herbaceous Perennials
Solidago nemoralis,1 to 2,,Yellow,August through September,,,dry,HERBACEOUS PERENNIALS,,,Gray Goldenrod,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Solidago+nemoralis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Solidago%20nemoralis),Herbaceous Perennials
Solidago sempervirens,1-8,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Goldenrod,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Solidago+sempervirens),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Solidago%20sempervirens),Herbaceous Perennials
Stokesia laevis,1 to 3,Aerial Spread,Flower Color,Flowering Period,,high,facultative,HERBACEOUS PERENNIALS,,,Stokes’ aster,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Stokesia+laevis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Stokesia%20laevis),Herbaceous Perennials
Symphyotrichum laeve,,,violet blue to purple,September through November,,,uplandc,HERBACEOUS PERENNIALS,,,Smooth Aster,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Symphyotrichum+laeve),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Symphyotrichum%20laeve),Herbaceous Perennials
Symphyotrichum novae-angliae,1 to 6,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,New England Aster,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Symphyotrichum+novae-angliae),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Symphyotrichum%20novae-angliae),Herbaceous Perennials
Symphyotrichum novi-belgii,1 to 3,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,New York Aster,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Symphyotrichum+novi-belgii),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Symphyotrichum%20novi-belgii),Herbaceous Perennials
Tiarella cordifolia,,,,,,,,HERBACEOUS PERENNIALS,,,Foam Flower,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Tiarella+cordifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Tiarella%20cordifolia),Herbaceous Perennials
Verbena hastata,,,"purple, blue, lavender",June through September,,,facultative wetland,HERBACEOUS PERENNIALS,,,Blue Vervain,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Verbena+hastata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Verbena%20hastata),Herbaceous Perennials
Vernonia noveboracensis,3-6,Spread,Flower Color,Flowering Period,,,"Facultative +, Facultative Wetland +",HERBACEOUS PERENNIALS,,,New York Ironweed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Vernonia+noveboracensis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Vernonia%20noveboracensis),Herbaceous Perennials
Veronicastrum virginicum,3-6,,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Culver’s Root,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Veronicastrum+virginicum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Veronicastrum%20virginicum),Herbaceous Perennials
