Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
13,Herbaceous Perennials,,Echinacea purpurea,Purple Coneflower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu
14,Herbaceous Perennials,,Eupatorium coelestinum,Blue mistflower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=244424&isprofile=0&pt=8,https://www.wildflower.org/plants/result.php?id_plant=coco13
15,Herbaceous Perennials,,Eupatorium dubium,Little Joe Pye weed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b781,https://www.wildflower.org/plants/result.php?id_plant=EUDU6
16,Herbaceous Perennials,,Eupatorium maculatum,Spotted Joe Pye weed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=302488&isprofile=0&,https://www.wildflower.org/plants/result.php?id_plant=eupe3
17,Herbaceous Perennials,,Eupatorium perfoliatum,Common boneset,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3
18,Herbaceous Perennials,,Eupatorium purpureum,Joe Pye Weed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c740,https://www.wildflower.org/plants/result.php?id_plant=eupu21
19,Herbaceous Perennials,,Eurybia divaricata,White wood aster,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h170,https://www.wildflower.org/plants/result.php?id_plant=EUDI16
20,Herbaceous Perennials,,Helenium autumnale,Common Sneezeweed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=443008&isprofile=1&gen=Helenium,https://www.wildflower.org/plants/result.php?id_plant=heau
21,Herbaceous Perennials,,Heliopsis helianthoides,Oxeye Sunflower,3 - 6,2 - 4,Orange-Yellow,June - August,Full sun,"Dry, Medium",,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g520,https://www.wildflower.org/plants/result.php?id_plant=HEHE5
23,Herbaceous Perennials,,Hibiscus moscheutos,Hibiscus or Swamp rosemallow,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=282590,https://www.wildflower.org/plants/result.php?id_plant=HIMO
24,Herbaceous Perennials,,Iris versicolor,"Blue flag, Blue water iris",,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=281141,https://www.wildflower.org/plants/result.php?id_plant=irve2
25,Herbaceous Perennials,,Liatris spicata,Dense blazing star,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d780,https://www.wildflower.org/plants/result.php?id_plant=lisp
26,Herbaceous Perennials,,Lilium superbum,Turk's Cap Lily,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d880,https://www.wildflower.org/plants/result.php?id_plant=lisu
27,Herbaceous Perennials,,Lobelia cardinalis,Cardinal flower,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=278870,https://www.wildflower.org/plants/result.php?id_plant=loca2
28,Herbaceous Perennials,,Lobelia siphilitica,Blue Lobelia,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i460,https://www.wildflower.org/plants/result.php?id_plant=losi
29,Herbaceous Perennials,,Mimulus ringens,Monkey Flower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z410,https://www.wildflower.org/plants/result.php?id_plant=MIRI
30,Herbaceous Perennials,,Monarda didyma,Scarlet beebalm/Oswego tea,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=q250,https://www.wildflower.org/plants/result.php?id_plant=MODI
31,Herbaceous Perennials,,Monarda fistulosa,Wild bergamot / Bee-balm,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g560,https://www.wildflower.org/plants/result.php?id_plant=mofi
32,Herbaceous Perennials,,Penstemon digitalis,Foxglove Beardtongue,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g590,https://www.wildflower.org/plants/result.php?id_plant=pedi
33,Herbaceous Perennials,,Phlox divaricta,Woodland phlox,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e580,https://www.wildflower.org/plants/result.php?id_plant=PHDI5
34,Herbaceous Perennials,,Phlox paniculata,Garden Phlox,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f193,https://www.wildflower.org/plants/result.php?id_plant=PHDI5
35,Herbaceous Perennials,,Phlox stolonifera,Creeping phlox,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285438,https://www.wildflower.org/plants/result.php?id_plant=PHST3
36,Herbaceous Perennials,,Physostegia virginiana,Obedient Plant/False Dragonhead,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g620,https://www.wildflower.org/plants/result.php?id_plant=phvi8
37,Herbaceous Perennials,,Pycnanthemum virginianum,Mountain Mint/Virginia Mountain-mint,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281418&isprofile=1&basic=Pycnanthemum+virginianum,https://www.wildflower.org/plants/result.php?id_plant=PRVI
38,Herbaceous Perennials,,Rudbeckia fulgida,Orange coneflower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g630,https://www.wildflower.org/plants/result.php?id_plant=rufu2
39,Herbaceous Perennials,,Rudbeckia hirta,Black-Eyed Susan,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277225,https://www.wildflower.org/plants/result.php?id_plant=ruhi2
40,Herbaceous Perennials,,Rudbeckia laciniata,Cutleaf Coneflower,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277226,https://www.wildflower.org/plants/result.php?id_plant=rula3
41,Herbaceous Perennials,,Siphium perfoliatum,Cup-Plant,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277471,https://www.wildflower.org/plants/result.php?id_plant=SIPE2
42,Herbaceous Perennials,,Smilacina raceoscum,False Solomon’s Seal or Solomon’s Plume,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m390,https://www.wildflower.org/plants/result.php?id_plant=mara7
43,Herbaceous Perennials,,Solidago nemoralis,Gray Goldenrod,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277240&isprofile=0&pt=8,https://www.wildflower.org/plants/result.php?id_plant=sogi
44,Herbaceous Perennials,,Solidago sempervirens,Goldenrod,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=269348,https://www.wildflower.org/plants/result.php?id_plant=sose
45,Herbaceous Perennials,,Stokesia laevis,Stokes’ aster,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i900,https://www.wildflower.org/plants/result.php?id_plant=stla6
46,Herbaceous Perennials,,Symphyotrichum laeve,Smooth Aster,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g420,https://www.wildflower.org/plants/result.php?id_plant=sylal3
47,Herbaceous Perennials,,Symphyotrichum novae-angliae,New England Aster,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b540,https://www.wildflower.org/plants/result.php?id_plant=syno2
48,Herbaceous Perennials,,Symphyotrichum novi-belgii,New York Aster,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=271331,https://www.wildflower.org/plants/result.php?id_plant=SYNOV
49,Herbaceous Perennials,,Tiarella cordifolia,Foam Flower,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f990,https://www.wildflower.org/plants/result.php?id_plant=TICO
50,Herbaceous Perennials,,Verbena hastata,Blue Vervain,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z370,https://www.wildflower.org/plants/result.php?id_plant=veha2
51,Herbaceous Perennials,,Vernonia noveboracensis,New York Ironweed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277487,https://www.wildflower.org/plants/result.php?id_plant=vefa2
52,Herbaceous Perennials,,Veronicastrum virginicum,Culver’s Root,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g180,https://www.wildflower.org/plants/result.php?id_plant=vevi4
54,Ferns,,Athyrium filix-femina,Lady Fern,,,,,,,,,,,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b630,https://www.wildflower.org/plants/result.php?id_plant=ATFI
55,Ferns,,Dryopteris marginalis,Marginal woodland fern,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285665,https://www.wildflower.org/plants/result.php?id_plant=DRMA4
56,Ferns,,Matteuccia struthiopteris,Ostrich Fern,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e180,https://www.wildflower.org/plants/result.php?id_plant=MAST
58,Ferns,,Osmunda cinnamomea,Cinnamon fern,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i570,https://www.wildflower.org/plants/result.php?id_plant=OSCI
59,Ferns,,Osmunda regalis,Royal Fern,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285736,https://www.wildflower.org/plants/result.php?id_plant=osre
60,Ferns,,Polystichum acrostichoides,Christmas Fern,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a710,https://www.wildflower.org/plants/result.php?id_plant=poac4
62,"Grasses, Sedges, and Rushes",,Andropogon gerardii,Big Bluestem,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g720,https://www.wildflower.org/plants/result.php?id_plant=ange
63,"Grasses, Sedges, and Rushes",,Carex amphibola,Creek sedge,,,,,,,,,,,Not Found,https://www.wildflower.org/plants/result.php?id_plant=capl18
64,"Grasses, Sedges, and Rushes",,Carex crinita,Fringed Sedge,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279732,https://www.wildflower.org/plants/result.php?id_plant=cacr6
65,"Grasses, Sedges, and Rushes",,Carex grayi,Gray Sedge,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279804,https://www.wildflower.org/plants/result.php?id_plant=CALA12
66,"Grasses, Sedges, and Rushes",,Carex laxiculmis,Creeping Sedge,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279805,https://www.wildflower.org/plants/result.php?id_plant=CALAL4
67,"Grasses, Sedges, and Rushes",,Carex pensylvanica,Pennsylvania sedge or Oak sedge,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=cape6
68,"Grasses, Sedges, and Rushes",,Carex plantaginea,Seersucker Sedge,,,,,,,,,,,Not Found,https://www.wildflower.org/plants/result.php?id_plant=CATR6
69,"Grasses, Sedges, and Rushes",,Carex stipata,Awl-fruited sedge,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=cast5
70,"Grasses, Sedges, and Rushes",,Carex stricta,Tussock Sedge,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=CAST8
71,"Grasses, Sedges, and Rushes",,Carex vulpinoidea,Fox sedge,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g760,https://www.wildflower.org/plants/result.php?id_plant=cavu2
72,"Grasses, Sedges, and Rushes",,Chasmanthium latifolium,Northern sea oats,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a240,
73,"Grasses, Sedges, and Rushes",,Deshampsia cespitosa,Tufted hairgrass,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285197,https://www.wildflower.org/plants/result.php?id_plant=pedi
74,"Grasses, Sedges, and Rushes",,Elymus virginicus,Virginia wild rye,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=285239,https://www.wildflower.org/plants/result.php?id_plant=ELVIV
75,"Grasses, Sedges, and Rushes",,Eragrostis spectabilis,Purple lovegrass,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d593,https://www.wildflower.org/plants/result.php?id_plant=ersp
76,"Grasses, Sedges, and Rushes",,Juncus effusus,Soft rush,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c262,https://www.wildflower.org/plants/result.php?id_plant=JUEF
77,"Grasses, Sedges, and Rushes",,Panicum virgatum,Switchgrass,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l460,https://www.wildflower.org/plants/result.php?id_plant=pavi2
78,"Grasses, Sedges, and Rushes",,Schizachyrium scoparium,Little Bluestem,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f510,https://www.wildflower.org/plants/result.php?id_plant=SCSC
79,"Grasses, Sedges, and Rushes",,Sorghastrum nutans,Indiangrass,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g780,https://www.wildflower.org/plants/result.php?id_plant=sonu2
80,"Grasses, Sedges, and Rushes",,Sporobolus heterolepis,Prairie Dropseed,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f680,https://www.wildflower.org/plants/result.php?id_plant=ecpu
82,Shrubs,,Andromeda polifolia,Bog Rosemary,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx,https://www.wildflower.org/plants/result.php?id_plant=anpo
83,Shrubs,,Aronia arbutifolia,Red chokeberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286551,https://www.wildflower.org/plants/result.php?id_plant=ARAR7
84,Shrubs,,Aronia melanocarpa,Black chokeberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j420,https://www.wildflower.org/plants/result.php?id_plant=ARME6
85,Shrubs,,Cephalanthus occidentalis,Buttonbush,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g830,https://www.wildflower.org/plants/result.php?id_plant=ceoc2
86,Shrubs,,Clethra alnifolia,Sweet Pepperbush/ Summersweet,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c230,https://www.wildflower.org/plants/result.php?id_plant=clal3
87,Shrubs,,Cornus amomum,Silky Dogwood,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g800,https://www.wildflower.org/plants/result.php?id_plant=COOB9
88,Shrubs,,Cornus racemosa,Graystem dogwood,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279351,https://www.wildflower.org/plants/result.php?id_plant=cora6
89,Shrubs,,Cornus sericea,Red-osier Dogwood aka Red-twig Dogwood,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=279363,https://www.wildflower.org/plants/result.php?id_plant=COSEO
91,Shrubs,,Hydrangea quercifolia,Oakleaf Hydrangea,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d380,https://www.wildflower.org/plants/result.php?id_plant=HYQU3
92,Shrubs,,Ilex glabra,Inkberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d553,https://www.wildflower.org/plants/result.php?id_plant=ilgl
93,Shrubs,,Ilex verticillata,Common winterberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d440,https://www.wildflower.org/plants/result.php?id_plant=Ilve
94,Shrubs,,Itea virginica,Virginia Sweetspire,,,,,,,,,,,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=286893,https://www.wildflower.org/plants/result.php?id_plant=ITVI
95,Shrubs,,Kalmia latifolia,Mountain laurel,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c798,https://www.wildflower.org/plants/result.php?id_plant=KALA
96,Shrubs,,Leucothoe racemosa,Fetter bush,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=446191&isprofile=0&,https://www.wildflower.org/plants/result.php?id_plant=PARA2
97,Shrubs,,Lindera benzoin,Spice bush,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d890,https://www.wildflower.org/plants/result.php?id_plant=libe3
98,Shrubs,,Myrica pensylvanica,Northern Bayberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e310,https://www.wildflower.org/plants/result.php?id_plant=mope6
99,Shrubs,,Rhododendron viscosum,Swamp azalea,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=280018,https://www.wildflower.org/plants/result.php?id_plant=rhvi2
100,Shrubs,,Rhus aromatica,Fragrant Sumac,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=275952,https://www.wildflower.org/plants/result.php?id_plant=rhar4
101,Shrubs,,Rosa carolina,Carolina Rose,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f370,https://www.wildflower.org/plants/result.php?id_plant=gema
102,Shrubs,,Sambucus canadensis,Elderberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f470,https://www.wildflower.org/plants/result.php?id_plant=sanic4
103,Shrubs,,Spiraea latifolia,Meadowsweet,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286372,https://www.wildflower.org/plants/result.php?id_plant=SPALL
104,Shrubs,,Spiraea tomentosa,Steeplebush,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=286476,https://www.wildflower.org/plants/result.php?id_plant=spto2
105,Shrubs,,Vaccinium corymbosum,Highbush Blueberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m690,https://www.wildflower.org/plants/result.php?id_plant=vaco
106,Shrubs,,Viburnum acerifolium,Mapleleaf Viburnum,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a192,
107,Shrubs,,Viburnum dentatum,Arrowwood Viburnum,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=278980,https://www.wildflower.org/plants/result.php?id_plant=vide
108,Shrubs,,Viburnum lentago,Nannyberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278938,https://www.wildflower.org/plants/result.php?id_plant=ceoc2
109,Shrubs,,Viburnum nudum,Possumhaw Virburnum,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278959,https://www.wildflower.org/plants/result.php?id_plant=VINU
110,Shrubs,,Viburnum trilobum,Cranberry viburnum,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c365,https://www.wildflower.org/plants/result.php?id_plant=vide
112,Trees,,Amelanchier canadensis,Serviceberry,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j290,https://www.wildflower.org/plants/result.php?id_plant=amca4
113,Trees,,Asimina triloba,Common Pawpaw,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b500%20,https://www.wildflower.org/plants/result.php?id_plant=astr
114,Trees,,Betula nigra,River birch,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277830,https://www.wildflower.org/plants/result.php?id_plant=beni
115,Trees,,Cercis canadensis,Eastern redbud,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550,https://www.wildflower.org/plants/result.php?id_plant=ceca4
116,Trees,,Cornus florida,Flowering dogwood,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c280,https://www.wildflower.org/plants/result.php?id_plant=cofl2
117,Trees,,Magnolia virginiana,Sweetbay magnolia,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e110,https://www.wildflower.org/plants/result.php?id_plant=mavi2
