Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Lobelia cardinalis,2 to 4,,Scarlet,June through September,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Cardinal flower,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Lobelia+cardinalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=lobelia-cardinalis,Herbaceous Perennials
Lobelia siphilitica,1 to 5,,Blue,July through October,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Blue Lobelia,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Lobelia+siphilitica,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=lobelia-siphilitica,Herbaceous Perennials
Mimulus ringens,,,Flower Color,Flowering Period,,,Obligate,HERBACEOUS PERENNIALS,,,Monkey Flower,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Mimulus+ringens,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=mimulus-ringens,Herbaceous Perennials
Monarda didyma,3 to 5,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Scarlet beebalm/Oswego tea,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Monarda+didyma,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=monarda-didyma,Herbaceous Perennials
Monarda fistulosa,2-3,,Flower Color,Flowering Period,,,Upland,HERBACEOUS PERENNIALS,,,Wild bergamot / Bee-balm,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Monarda+fistulosa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=monarda-fistulosa,Herbaceous Perennials
Penstemon digitalis,3 to 5,,white or light pink,May through July,,high,facultative,HERBACEOUS PERENNIALS,,,Foxglove Beardtongue,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Penstemon+digitalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=penstemon-digitalis,Herbaceous Perennials
Phlox divaricta,,,violet blue,April through May,,,facultative upland,HERBACEOUS PERENNIALS,,,Woodland phlox,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Phlox+divaricta,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=phlox-divaricta,Herbaceous Perennials
Phlox paniculata,3-6,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Garden Phlox,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Phlox+paniculata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=phlox-paniculata,Herbaceous Perennials
Phlox stolonifera,,Spread,"pink, violet, or milky white",April through June,,high,facultative upland,HERBACEOUS PERENNIALS,,,Creeping phlox,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Phlox+stolonifera,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=phlox-stolonifera,Herbaceous Perennials
Physostegia virginiana,1-4,Spread,Flower Color,Flowering Period,,,"Facultative +, Obligate Wetland",HERBACEOUS PERENNIALS,,,Obedient Plant/False Dragonhead,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Physostegia+virginiana,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=physostegia-virginiana,Herbaceous Perennials
Pycnanthemum virginianum,2-3,,,Flowering Period,,,"Facultative, Facultative Wetland +",HERBACEOUS PERENNIALS,,,Mountain Mint/Virginia Mountain-mint,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Pycnanthemum+virginianum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=pycnanthemum-virginianum,Herbaceous Perennials
Rudbeckia fulgida,2 to 3,Spread,yellow orange,July through September,,,facultative upland,HERBACEOUS PERENNIALS,,,Orange coneflower,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rudbeckia+fulgida,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rudbeckia-fulgida,Herbaceous Perennials
Rudbeckia hirta,2-3,Spread,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Black-Eyed Susan,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rudbeckia+hirta,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rudbeckia-hirta,Herbaceous Perennials
Rudbeckia laciniata,4 to 6,,Flower Color,Flowering Period,,,Facultative wetlandc,HERBACEOUS PERENNIALS,,,Cutleaf Coneflower,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rudbeckia+laciniata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rudbeckia-laciniata,Herbaceous Perennials
Siphium perfoliatum,,,yellow,July through September,,,facultative wetlandc,HERBACEOUS PERENNIALS,,,Cup-Plant,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Siphium+perfoliatum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=siphium-perfoliatum,Herbaceous Perennials
Smilacina raceoscum,1 to 2,Spread,White,,"Sun, part shade, or shade",,Facultative upland,HERBACEOUS PERENNIALS,,,False Solomon’s Seal or Solomon’s Plume,"found in moist, rich woodlands and woodland edgesb",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Smilacina+raceoscum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=smilacina-raceoscum,Herbaceous Perennials
Solidago nemoralis,1 to 2,,Yellow,August through September,,,dry,HERBACEOUS PERENNIALS,,,Gray Goldenrod,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Solidago+nemoralis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=solidago-nemoralis,Herbaceous Perennials
Solidago sempervirens,1-8,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,Goldenrod,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Solidago+sempervirens,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=solidago-sempervirens,Herbaceous Perennials
Stokesia laevis,1 to 3,Aerial Spread,Flower Color,Flowering Period,,high,facultative,HERBACEOUS PERENNIALS,,,Stokes’ aster,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Stokesia+laevis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=stokesia-laevis,Herbaceous Perennials
Symphyotrichum laeve,,,violet blue to purple,September through November,,,uplandc,HERBACEOUS PERENNIALS,,,Smooth Aster,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Symphyotrichum+laeve,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=symphyotrichum-laeve,Herbaceous Perennials
Symphyotrichum novae-angliae,1 to 6,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,New England Aster,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Symphyotrichum+novae-angliae,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=symphyotrichum-novae-angliae,Herbaceous Perennials
Symphyotrichum novi-belgii,1 to 3,,Flower Color,Flowering Period,,,Facultative wetland,HERBACEOUS PERENNIALS,,,New York Aster,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Symphyotrichum+novi-belgii,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=symphyotrichum-novi-belgii,Herbaceous Perennials
Tiarella cordifolia,,,,,,,,HERBACEOUS PERENNIALS,,,Foam Flower,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Tiarella+cordifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=tiarella-cordifolia,Herbaceous Perennials
Verbena hastata,,,"purple, blue, lavender",June through September,,,facultative wetland,HERBACEOUS PERENNIALS,,,Blue Vervain,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Verbena+hastata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=verbena-hastata,Herbaceous Perennials
Vernonia noveboracensis,3-6,Spread,Flower Color,Flowering Period,,,"Facultative +, Facultative Wetland +",HERBACEOUS PERENNIALS,,,New York Ironweed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Vernonia+noveboracensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=vernonia-noveboracensis,Herbaceous Perennials
Veronicastrum virginicum,3-6,,Flower Color,Flowering Period,,,Facultative Upland,HERBACEOUS PERENNIALS,,,Culver’s Root,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Veronicastrum+virginicum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=veronicastrum-virginicum,Herbaceous Perennials
Athyrium filix-femina,,,,,,,,FERNS,,,Lady Fern,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Athyrium+filix-femina,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=athyrium-filix-femina,Ferns
Dryopteris marginalis,1 to 2,Spread,Bloom color,,Part shade or full shade,,Facultative upland,FERNS,,,Marginal woodland fern,"Found in rocky woods, rich woodlands, woodland edges, ravines, or bluffs",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Dryopteris+marginalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=dryopteris-marginalis,Ferns
Matteuccia struthiopteris,3 to 4,Spread,,,,,Facultative,FERNS,,,Ostrich Fern,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Matteuccia+struthiopteris,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=matteuccia-struthiopteris,Ferns
Osmunda cinnamomea,,Aerial Spread,,,,,,FERNS,,,Cinnamon fern,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Osmunda+cinnamomea,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=osmunda-cinnamomea,Ferns
Osmunda regalis,,Spread,,,,,Obligate,FERNS,,,Royal Fern,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Osmunda+regalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=osmunda-regalis,Ferns
Polystichum acrostichoides,1-2,,,,,,,FERNS,,,Christmas Fern,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Polystichum+acrostichoides,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=polystichum-acrostichoides,Ferns
Andropogon gerardii,4-8,,Flower Color,Flowering Period,,,,"GRASSES, SEDGES, AND RUSHES",,,Big Bluestem,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Andropogon+gerardii,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=andropogon-gerardii,"Grasses, Sedges, and Rushes"
Carex amphibola,8 to 12,Spread,,Flowering Period,,,facultative wetland,"GRASSES, SEDGES, AND RUSHES",,,Creek sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+amphibola,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-amphibola,"Grasses, Sedges, and Rushes"
Carex crinita,1 to 3,Spread,Flower Color,Flowering Period,,,Facultative wetland,"GRASSES, SEDGES, AND RUSHES",,,Fringed Sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+crinita,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-crinita,"Grasses, Sedges, and Rushes"
Carex grayi,,,Bloom Color,Flowering Period,,,facultative,"GRASSES, SEDGES, AND RUSHES",,,Gray Sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+grayi,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-grayi,"Grasses, Sedges, and Rushes"
Carex laxiculmis,,,Bloom Color,Flowering Period,,,obligatec,"GRASSES, SEDGES, AND RUSHES",,,Creeping Sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+laxiculmis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-laxiculmis,"Grasses, Sedges, and Rushes"
Carex pensylvanica,,,,,,,,"GRASSES, SEDGES, AND RUSHES",,,Pennsylvania sedge or Oak sedge,"Upland woods, open wooded bluffs and slopes, clearings in woods, pine barrens, oak",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+pensylvanica,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-pensylvanica,"Grasses, Sedges, and Rushes"
Carex plantaginea,,,Bloom Color,Flowering Period,,,none,"GRASSES, SEDGES, AND RUSHES",,,Seersucker Sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+plantaginea,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-plantaginea,"Grasses, Sedges, and Rushes"
Carex stipata,1-3,,,Bloom Period,,,obligate,"GRASSES, SEDGES, AND RUSHES",,,Awl-fruited sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+stipata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-stipata,"Grasses, Sedges, and Rushes"
Carex stricta,2 to 5,Spread,Flower Color,Flowering Period,,,OBL Obligate,"GRASSES, SEDGES, AND RUSHES",,,Tussock Sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+stricta,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-stricta,"Grasses, Sedges, and Rushes"
Carex vulpinoidea,,,,Flowering Period,,,Obligate wetland,"GRASSES, SEDGES, AND RUSHES",,,Fox sedge,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Carex+vulpinoidea,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=carex-vulpinoidea,"Grasses, Sedges, and Rushes"
Chasmanthium latifolium,3 to 5,Spread,,,,,,"GRASSES, SEDGES, AND RUSHES",,,Northern sea oats,Occurs in rich woods or rocky slopes along streams and on moist bluffs,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Chasmanthium+latifolium,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=chasmanthium-latifolium,"Grasses, Sedges, and Rushes"
Deshampsia cespitosa,2 to 4,Spread,,,,,Facultative Wetland,"GRASSES, SEDGES, AND RUSHES",,,Tufted hairgrass,"Coastal terraces, upper tidal marshes, seasonally wet prairies, moist subalpine",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Deshampsia+cespitosa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=deshampsia-cespitosa,"Grasses, Sedges, and Rushes"
Elymus virginicus,3 to 5,,Bloom Color,Flowering Period,,,facultative wetland,"GRASSES, SEDGES, AND RUSHES",,,Virginia wild rye,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Elymus+virginicus,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=elymus-virginicus,"Grasses, Sedges, and Rushes"
Eragrostis spectabilis,1 to 2,Spread,Flower Color,Flowering Period,,,Upland,"GRASSES, SEDGES, AND RUSHES",,,Purple lovegrass,"Commonly in sandy, rocky, or open ground in dry prairies, upland savannas,",Attracts butterflies and other pollinators,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eragrostis+spectabilis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eragrostis-spectabilis,"Grasses, Sedges, and Rushes"
Juncus effusus,,,,Flowering Period,,,Facultative wetland,"GRASSES, SEDGES, AND RUSHES",,,Soft rush,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Juncus+effusus,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=juncus-effusus,"Grasses, Sedges, and Rushes"
Panicum virgatum,,,Bloom Color,Flowering Period,,,,"GRASSES, SEDGES, AND RUSHES",,,Switchgrass,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Panicum+virgatum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=panicum-virgatum,"Grasses, Sedges, and Rushes"
Schizachyrium scoparium,,,Flower Color,Flowering Period,,,facultative upland,"GRASSES, SEDGES, AND RUSHES",,,Little Bluestem,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Schizachyrium+scoparium,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=schizachyrium-scoparium,"Grasses, Sedges, and Rushes"
Sorghastrum nutans,3-5,,Flower Color,Flowering Period,,,,"GRASSES, SEDGES, AND RUSHES",,,Indiangrass,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Sorghastrum+nutans,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=sorghastrum-nutans,"Grasses, Sedges, and Rushes"
Sporobolus heterolepis,,,Bloom Color,Flowering Period,,,upland,"GRASSES, SEDGES, AND RUSHES",,,Prairie Dropseed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Sporobolus+heterolepis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=sporobolus-heterolepis,"Grasses, Sedges, and Rushes"
Andromeda polifolia,1 to 2,Aerial Spread,Flower Color,Flowering Period,,,Obligate Wetland,SHRUBS,,,Bog Rosemary,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Andromeda+polifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=andromeda-polifolia,Shrubs
Aronia arbutifolia,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Red chokeberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Aronia+arbutifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=aronia-arbutifolia,Shrubs
Aronia melanocarpa,3 to 6,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Black chokeberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Aronia+melanocarpa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=aronia-melanocarpa,Shrubs
Cephalanthus occidentalis,6 to 12,Aerial Spread,,Flowering Period,,,Obligate wetland,SHRUBS,,,Buttonbush,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cephalanthus+occidentalis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cephalanthus-occidentalis,Shrubs
