Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Tolerates,Maintenance,Native Habitats,Attracts,Soil Description,Distribution Zone,AGCP Regional Status,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
"Herbaceous, Perennial",EP,Echinacea purpurea,PURPLE CONEFLOWER,2 - 5,1.50 - 2,"Pink, Purple","Apr, May, Jun, Jul, Aug, Sep","Full Sun, Part Shade","dry, medium","Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",Low,"Well-drained limestone, sand, clay, loam. Rocky, open woods; thickets; prairies.","Birds, Butterflies","Well-drained, sandy or richer soils.",USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu,https://www.pleasantrunnursery.com/plant-name/Echinacea-purpurea,https://newmoonnursery.com/nursery-plants/echinacea-purpurea-white-swan/,https://www.pinelandsnursery.com/echinacea-purpurea-purple-coneflower-1-pot
"Herbaceous, Perennial",EC,Eupatorium coelestinum,BLUE MISTFLOWER,1.50 - 3,1.50 - 3,"Blue, Purple","Jul, Aug, Sep, Oct, Nov","Full Sun, Part Shade",medium,Clay Soil Tolerant,Medium,Wood margins; stream banks; low woods; wet meadows; ditches,"Butterflies, Hummingbirds, Pollinators","Moist loam, sand, or clay.",USDA Hardiness Zone 5 to 10,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j870,https://www.wildflower.org/plants/result.php?id_plant=coco13,https://www.pleasantrunnursery.com/plant-name/Eupatorium-coelestinum,https://newmoonnursery.com/nursery-plants/eupatorium-coelestinum/,https://www.pinelandsnursery.com/conoclinium-coelestinum-blue-mistflower-2-plug
"Herbaceous, Perennial",ED,Eupatorium dubium,LITTLE JOE PYE WEED,3 - 4,1 - 3,"White, Pink, Purple","Jul, Aug, Sep, Oct","Full Sun, Part Shade","medium, wet","Deer, Clay Soil, Wet Soil",Low,"moist, usually sandy acidic soil of swamps, bogs, marshes, swales",Butterflies,,USDA Hardiness Zone 3 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b781,https://www.wildflower.org/plants/result.php?id_plant=EUDU6,https://www.pleasantrunnursery.com/plant-name/Eupatorium-dubium-Baby-Joe,https://newmoonnursery.com/nursery-plants/eupatorium-dubium/,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed
"Herbaceous, Perennial",EM,Eupatorium maculatum,SPOTTED JOE PYE WEED,4 - 5,1.50 - 2,"Pink, Purple","Jul, Aug, Sep",Full Sun,"medium, wet","Deer, Clay Soil, Wet Soil",Low,Moist prairies; wood edges; wooded slopes,Butterflies,Moist soils,USDA Hardiness Zone 4 to 8,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=302488,https://www.wildflower.org/plants/result.php?id_plant=eupu21,https://www.pleasantrunnursery.com/plant-name/Eupatorium-maculatum-Gateway,https://newmoonnursery.com/nursery-plants/eupatorium-maculatum/,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed
"Herbaceous, Perennial",EP1,Eupatorium perfoliatum,COMMON BONESET,4 - 6,3 - 4,White,"Jun, Jul, Aug, Sep, Oct","Full Sun, Part Shade","medium, wet","Deer, Clay Soil, Wet Soil",Low,Damp prairies; alluvial woods; bogs,Butterflies,Moist to wet soils,USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3,https://www.pleasantrunnursery.com/plant-name/Eupatorium-perfoliatum,https://newmoonnursery.com/nursery-plants/eupatorium-perfoliatum/,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed
"Herbaceous, Perennial",EP2,Eupatorium purpureum,JOE PYE WEED,5 - 7,2 - 4,"Pink, Purple","Jul, Aug, Sep","Full Sun, Part Shade",medium,"Deer, Clay Soil, Wet Soil",Low,Moist prairies; wood edges; wooded slopes,Butterflies,Moist soils,USDA Hardiness Zone 4 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c740,https://www.wildflower.org/plants/result.php?id_plant=eupu21,https://www.pleasantrunnursery.com/plant-name/Eupatorium-coelestinum,https://newmoonnursery.com/nursery-plants/eupatorium-purpureum/,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed
"Herbaceous, Perennial",ED1,Eurybia divaricata,WHITE WOOD ASTER,1 - 2.50,1.50 - 2.50,"White, Green, Brown","Aug, Sep, Oct, Nov","Part Shade, Full Shade","dry, medium","Drought, Heavy Shade, Dry Soil, Shallow-Rocky Soil",Low,Woodland,Butterflies,"Tolerates dry soil, shade to part shade neutral to slightly acidic conditions.",USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h170,https://www.wildflower.org/plants/result.php?id_plant=EUDI16,https://www.pleasantrunnursery.com/plant-name/Phlox-divaricata-Blue-Moon,https://newmoonnursery.com/nursery-plants/aster-divaricatus/,https://www.pinelandsnursery.com/eurybia-divaricata-white-wood-aster-seed
"Herbaceous, Perennial",HA,Helenium autumnale,COMMON SNEEZEWEED,3 - 5,2 - 3,Yellow,"Jul, Aug, Sep, Oct",Full Sun,"medium, wet","Deer, Clay Soil, Wet Soil",Medium,"Moist, open areas along streams & ponds; wet meadows",Butterflies,Moist clay soils.,USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/plantfinder/plantfinderdetails.aspx?kempercode=c930,https://www.wildflower.org/plants/result.php?id_plant=heau,https://www.pleasantrunnursery.com/plant-name/Helenium-autumnale-Mariachi-Fuego,https://newmoonnursery.com/nursery-plants/helenium-autumnale/,https://www.pinelandsnursery.com/helenium-autumnale-sneezeweed-seed
"Herbaceous, Perennial",HH,Heliopsis helianthoides,SMOOTH OXEYE,3 - 6,2 - 4,Yellow,"Jun, Jul, Aug, Sep",Full Sun,"dry, medium","Drought, Clay Soil, Erosion, Dry Soil, Shallow-Rocky Soil",Low,"Moist to dry, open woodlands; prairies; fields","Birds, Butterflies",Sandy soils.,USDA Hardiness Zone 3 to 9,UPL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g520,https://www.wildflower.org/plants/result.php?id_plant=HEHE5,https://www.pleasantrunnursery.com/plant-name/Heliopsis-helianthoides,https://newmoonnursery.com/nursery-plants/heliopsis-helianthoides-var-scabra-burning-hearts/,https://www.pinelandsnursery.com/heliopsis-helianthoides-false-sunflower-seed
"Herbaceous, Perennial",HM,Hibiscus moscheutos,SWAMP ROSEMALLOW,3 - 7,2 - 4,"White, Pink","Jul, Aug, Sep",Full Sun,"medium, wet",Wet Soil,Low,Swampy forests; wet meadows; marshes,Butterflies,"Moist to wet, slightly acidic soils.",USDA Hardiness Zone 5 to 9,OBL,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=282590,https://www.wildflower.org/plants/result.php?id_plant=HIMO,https://www.pleasantrunnursery.com/plant-name/Hibiscus-moscheutos,https://newmoonnursery.com/nursery-plants/hibiscus-moscheutos/,https://www.pinelandsnursery.com/hibiscus-moscheutos-swamp-rose-mallow-seed
"Herbaceous, Perennial",IV,Iris versicolor,"BLUE FLAG, BLUE WATER IRIS",2 - 2.50,2 - 2.50,"Blue, Purple","May, Jun, Jul, Aug","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Wet Site Tolerant",Low,Meadows; stream banks; marshes; swamps,,"Moist, rich soils.",USDA Hardiness Zone 3 to 9,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281141,https://www.wildflower.org/plants/result.php?id_plant=irve2,https://www.pleasantrunnursery.com/plant-name/Iris-versicolor,https://newmoonnursery.com/nursery-plants/iris-versicolor/,https://www.pinelandsnursery.com/iris-versicolor-blue-flag-iris-1-pot
"Herbaceous, Perennial",LS,Liatris spicata,DENSE BLAZING STAR,1.50 - 2.50,0.50 - 1,Purple,"Jul, Aug, Sep",Full Sun,medium,"Drought, Clay Soil",Low,"Moist, wood openings; mesic prairies; marsh edges","Birds, Hummingbirds, Butterflies","Moist, average soils.",USDA Hardiness Zone 3 to 8,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d790,https://www.wildflower.org/plants/result.php?id_plant=lisp,https://www.pleasantrunnursery.com/plant-name/Liatris-spicata,https://newmoonnursery.com/nursery-plants/liatris-spicata-floristan-violet/,https://www.pinelandsnursery.com/liatris-spicata-dense-blazingstar-seed
"Herbaceous, Perennial",LS1,Lilium superbum,TURK'S CAP LILY,4 - 7,0.50 - 0.75,"Red, Orange, Yellow","Jul, Aug, Sep","Full Sun, Part Shade","medium, wet",Wet Soil,Medium,"Wet meadows, swamps, and woods.",Hummingbirds,"Loam, Sand. Good drainage essential.",USDA Hardiness Zone 5 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d880,https://www.wildflower.org/plants/result.php?id_plant=lisu,https://www.pleasantrunnursery.com/plant-name/Leucanthemum-x-superbum-Becky,,https://www.pinelandsnursery.com/search?query=Lilium+superbum
"Herbaceous, Perennial",LC,Lobelia cardinalis,CARDINAL FLOWER,2 - 4,1 - 2,Red,"May, Jun, Jul, Aug, Sep, Oct","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Rabbit",Low,"Ditches, Ravines, Depressions, Woodlands' edge, Opening, Stream banks, Roadsides, Prairie, Plains, Meadows, Pastures, Savannas, Near lakes or ponds, Swamps","Hummingbirds, Butterflies","Moist to wet, humus-rich soil. Medium Loam, Clay Loam, Limestone-based, Sandy, Sandy Loam, Clay",USDA Hardiness Zone 3 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d940,https://www.wildflower.org/plants/result.php?id_plant=loca2,https://www.pleasantrunnursery.com/plant-name/Lobelia-cardinalis,https://newmoonnursery.com/nursery-plants/lobelia-cardinalis-new-moon-maroon/,https://www.pinelandsnursery.com/lobelia-cardinalis-cardinal-flower-1-pot
"Herbaceous, Perennial",LS2,Lobelia siphilitica,BLUE LOBELIA,2 - 3,1.50 - 2,Blue,"Jul, Aug, Sep, Oct","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Black Walnut Tolerant, Wet Site Tolerant",Low,"Open, wet woods; stream banks; marshes; meadows","Butterflies, Hummingbirds, Pollinators","Clay, Loam, Sand",USDA Hardiness Zone 5 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=292902,https://www.wildflower.org/plants/result.php?id_plant=losi,https://www.pleasantrunnursery.com/plant-name/Lobelia-siphilitica,https://newmoonnursery.com/nursery-plants/lobelia-siphilitica/,https://www.pinelandsnursery.com/lobelia-siphilitica-blue-lobelia-1-pot
"Herbaceous, Perennial",MR,Mimulus ringens,MONKEY FLOWER,1 - 3,0.75 - 1,"Red, Pink, Blue, Purple","Jun, Jul, Aug, Sep","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Clay Soil Tolerant, Wet Site Tolerant",Low,Wet meadows and streambanks.,"Butterflies, Hummingbirds, Pollinators",Loam,USDA Hardiness Zone 3 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z410,https://www.wildflower.org/plants/result.php?id_plant=MIRI,https://www.pleasantrunnursery.com/plant-name/Mimulus-ringens,,https://www.pinelandsnursery.com/mimulus-ringens-allegehney-monkey-flower-seed
"Herbaceous, Perennial",MD,Monarda didyma,BEE-BALM,2 - 4,2 - 3,Red,"May, Jun, Jul, Aug, Sep, Oct","Full Sun, Part Shade","medium, wet","Deer, Clay Soil, Wet Soil, Rabbit, Black Walnut",Medium,"Moist, open woods; meadows; stream banks; mountains to 6500 feet","Hummingbirds, Butterflies","Rich, moist, acid soils. Juglone tolerant.",USDA Hardiness Zone 4 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=q250,https://www.wildflower.org/plants/result.php?id_plant=MODI,https://www.pleasantrunnursery.com/plant-name/Monarda-didyma,https://newmoonnursery.com/nursery-plants/monarda-didyma-gardenview-scarlet/,https://www.pinelandsnursery.com/monarda-didyma-scarlet-beebalm-2-plug
"Herbaceous, Perennial",MF,Monarda fistulosa,WILD BERGAMOT,2 - 4,2 - 3,"White, Pink, Purple","May, Jun, Jul, Aug, Sep","Full Sun, Part Shade","dry, medium","Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut",Medium,"Grows in dry open woods, fields, wet meadows and ditches, and at the edges of woods and marshes in the eastern fourth of Texas. Well-drained but moist sand, loam, clay; acidic or calcareous soils. Zones 4 to 8.","Hummingbirds, Butterflies","Thrives in a wide range of soils, from acid to lime to rich to poor to sand to clay. Less tolerant of flooding, but can take it in the winter.",USDA Hardiness Zone 3 to 9,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g560,https://www.wildflower.org/plants/result.php?id_plant=mofi,https://www.pleasantrunnursery.com/plant-name/Monarda-fistulosa,https://newmoonnursery.com/nursery-plants/monarda-fistulosa-claire-grace/,https://www.pinelandsnursery.com/monarda-fistulosa-wild-bergamot-seed
"Herbaceous, Perennial",PD,Penstemon digitalis,FOXGLOVE BEARDTONGUE,3 - 5,1.50 - 2,White,"May, Jun, Jul",Full Sun,"dry, medium","Deer, Drought, Clay Soil, Dry Soil",Medium,"Low, moist areas; prairies; open woodlands","Hummingbirds, Butterflies","Fertile, well-drained loams, clay loams, and sand. Acid preferably but tolerates lime.",USDA Hardiness Zone 3 to 8,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g590,https://www.wildflower.org/plants/result.php?id_plant=pedi,https://www.pleasantrunnursery.com/plant-name/Penstemon-digitalis,https://newmoonnursery.com/nursery-plants/penstemon-digitalis-pocahontas/,https://www.pinelandsnursery.com/penstemon-digitalis-foxglove-beardtongue-1-pot
"Herbaceous, Perennial",PD1,Phlox divaricta,WOODLAND PHLOX,0.75 - 1,0.75 - 1,"White, Red, Pink, Purple","Mar, Apr, May","Part Shade, Full Shade",medium,"Deer, Drought, Clay Soil, Dry Soil",Medium,"Moist, rich, ","Hummingbirds, Butterflies","Rich, moist, acid soils, but also found in calcareous areas. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay.",USDA Hardiness Zone 3 to 8,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e580,https://www.wildflower.org/plants/result.php?id_plant=PHDI5,https://www.pleasantrunnursery.com/plant-name/Phlox-divaricata-Blue-Moon,https://newmoonnursery.com/nursery-plants/phlox-subulata-emerald-pink/,https://www.pinelandsnursery.com/search?query=Phlox+divaricta
"Herbaceous, Perennial",PP,Phlox paniculata,GARDEN PHLOX,2 - 4,1.50 - 3,"Pink, Purple","Jun, Jul, Aug","Full Sun, Part Shade",medium,"Deer, Clay Soil, Black Walnut",Medium,"Rich, open woods; thickets; meadows; moist roadsides","Hummingbirds, Butterflies","Organic, Loam",USDA Hardiness Zone 4 to 8,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f222,https://www.wildflower.org/plants/result.php?id_plant=phpa9,https://www.pleasantrunnursery.com/plant-name/Phlox-paniculata-Blue-Paradise,https://newmoonnursery.com/nursery-plants/phlox-paniculata-jeana/,https://www.pinelandsnursery.com/search?query=Phlox+paniculata
"Herbaceous, Perennial",PS,Phlox stolonifera,CREEPING PHLOX,0.50 - 1,0.75 - 1.50,"White, Blue, Purple","Apr, May","Full Sun, Part Shade",medium,"Deer, Drought, Rabbit, Air Pollution, Clay Soil Tolerant",Low,Woods & wooded stream banks,"Butterflies, Pollinators",Humus-rich soil.,USDA Hardiness Zone 5 to 9,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285438,https://www.wildflower.org/plants/result.php?id_plant=PHST3,https://www.pleasantrunnursery.com/plant-name/Phlox-stolonifera-Blue-Ridge,https://newmoonnursery.com/nursery-plants/phlox-stolonifera/,https://www.pinelandsnursery.com/search?query=Phlox+stolonifera
"Herbaceous, Perennial",PV,Physostegia virginiana,FALSE DRAGONHEAD,3 - 4,2 - 3,"White, Pink, Purple","Aug, Sep, Oct, Nov",Full Sun,medium,"Deer, Clay Soil",Medium,"River banks; wet thickets; prairies, River banks, swamps, and low grounds in East and North Central Texas. Sand, clay, limestone; poor drainage okay.",Hummingbirds,"Moist, humus-rich soils.",USDA Hardiness Zone 3 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g620,https://www.wildflower.org/plants/result.php?id_plant=phvi8,https://www.pleasantrunnursery.com/plant-name/Physostegia-virginiana-Miss-Manners,https://newmoonnursery.com/nursery-plants/physostegia-virginiana-vivid/,https://www.pinelandsnursery.com/rosa-virginiana-virginia-rose-1-pot
"Herbaceous, Perennial",PV1,Pycnanthemum virginianum,VIRGINIA MOUNTAIN-MINT,2 - 3,1 - 1.50,"White, Purple","Jun, Jul",Full Sun,medium,"Clay Soil Tolerant, Wet Site Tolerant",Low,Thickets; pastures,"Butterflies, Pollinators","Mesic to dry, rich soils.",USDA Hardiness Zone 3 to 7,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l880,https://www.wildflower.org/plants/result.php?id_plant=PYIN,https://www.pleasantrunnursery.com/plant-name/Pycnanthemum-virginianum,https://newmoonnursery.com/nursery-plants/pycnanthemum-virginianum/,https://www.pinelandsnursery.com/pycnanthemum-virginianum-virginia-mountain-mint-seed
"Herbaceous, Perennial",RF,Rudbeckia fulgida,ORANGE CONEFLOWER,2 - 3,2 - 2.50,"Orange, Yellow","Jul, Aug, Sep, Oct",Full Sun,"dry, medium","Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Air Pollution",Low,Open woods; meadows; pastures,"Birds, Butterflies",Various soils.,USDA Hardiness Zone 3 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g630,https://www.wildflower.org/plants/result.php?id_plant=rufu2,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-fulgida-var-deamii,https://newmoonnursery.com/nursery-plants/rudbeckia-fulgida-v-fulgida/,https://www.pinelandsnursery.com/rudbeckia-fulgida-orange-coneflower-1-pot
"Herbaceous, Perennial",RH,Rudbeckia hirta,BLACK-EYED SUSAN,1 - 1.50,1 - 1.50,Yellow,"Jun, Jul, Aug, Sep, Oct",Full Sun,medium,"Deer, Drought, Clay Soil",Low,"Prairie, Plains, Meadows, Pastures, Savannas, Woodlands' edge, Opening",Butterflies,"Moist to dry, well-drained soils. Juglones tolerant",USDA Hardiness Zone 3 to 8,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=298813,https://www.wildflower.org/plants/result.php?id_plant=ruhi2,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-hirta,https://newmoonnursery.com/nursery-plants/6872-2/,https://www.pinelandsnursery.com/rudbeckia-hirta-black-eyed-susan-seed
